Distance_(microns),Gray_Value
0.00000,76.208
0.04000,80.037
0.08000,52.876
0.12000,50.496
0.16000,88.058
0.20000,98.946
0.24000,76.301
0.28000,65.539
0.32000,69.101
0.36000,65.309
0.40000,70.507
0.44000,63.751
0.48000,14.634
0.52000,24.554
0.56000,86.556
0.60000,81.603
0.64000,58.240
0.68000,24.923
0.72000,12.236
0.76000,215.717
0.80000,426.201
0.84000,266.010
0.88000,97.927
0.92000,124.098
0.96000,70.598
1.00000,12.145
1.04000,35.376
1.08000,16.189
1.12000,0.000
1.16000,12.991
1.20000,15.431
1.24000,25.873
1.28000,39.122
1.32000,28.315
1.36000,27.614
1.40000,27.799
1.44000,31.623
1.48000,44.795
1.52000,47.953
