Distance_(microns),Gray_Value
0.000000,59.971
0.040000,9.212
0.080000,0.000
0.120000,220.346
0.160000,427.781
0.200000,322.363
0.240000,107.403
0.280000,30.705
0.320000,38.897
0.360000,50.328
0.400000,78.701
0.440000,86.116
