,label,x,y,major,minor,area,bbox,intensities,r,nor_intensity,nor_area,nor_r,nor_r2,cells
0,3,468.7894737,466.6315789,5.127073206,4.7117571,19,"(467, 465, 472, 470)",67185.71,4.919415153,0.21273422,0.213483146,0.460404813,0.211972592,1
0,4,496.5505618,361.6404494,10.87209769,10.49785769,89,"(491, 357, 503, 368)",315819.94,10.68497769,1,1,1,1,1
0,9,520.3888889,322.1388889,7.345005687,6.163534949,36,"(518, 319, 524, 326)",126865.56,6.754270318,0.4017022,0.404494382,0.632127695,0.399585423,1
0,12,547,453.2191781,10.46847845,8.888880549,73,"(542, 449, 553, 458)",251047.05,9.6786795,0.7949056,0.820224719,0.905821217,0.820512078,1
0,13,631.1,422.85,9.013157141,8.554316553,60,"(627, 419, 636, 428)",211777.9,8.783736847,0.67056537,0.674157303,0.822064126,0.675789427,1
0,14,653.4,368.46,7.969943538,7.958291274,50,"(650, 365, 658, 373)",187809.9,7.964117406,0.594674,0.561797753,0.745356484,0.555556289,1
0,15,682.0701754,372.9649123,9.586707691,7.571649565,57,"(678, 369, 687, 377)",193775.14,8.579178628,0.6135621,0.640449438,0.802919658,0.644679976,1
0,17,716.1451613,439.6290323,9.121314615,8.677260852,62,"(712, 436, 721, 445)",226005.5,8.899287734,0.71561503,0.696629213,0.832878457,0.693686524,1
0,18,730.1568627,425.1960784,8.586841262,7.796584262,51,"(726, 422, 735, 430)",161423.84,8.191712762,0.5111262,0.573033708,0.766656983,0.58776293,1
0,1,428.9189189,414.4054054,10.31230767,9.106122529,74,"(425, 410, 434, 420)",176769.31,9.709215101,1,1,1,1,2
0,2,432.6756757,363.7837838,7.399836036,6.367195997,37,"(430, 361, 436, 368)",57850.703,6.883516016,0.32726666,0.5,0.7089673,0.502634633,2
0,3,463.0634921,408.4285714,9.865939595,8.186882184,63,"(459, 404, 468, 414)",136339.69,9.026410889,0.77128595,0.851351351,0.929674623,0.864294905,2
0,4,465.5,419.5,3.829708431,3.829708431,12,"(464, 418, 468, 422)",21959.598,3.829708431,0.124227434,0.162162162,0.39444058,0.155583371,2
0,5,473.9130435,491.5652174,6.028264302,4.808655478,23,"(472, 489, 477, 495)",48427.668,5.41845989,0.2739597,0.310810811,0.558073936,0.311446518,2
0,11,516.5,331.3333333,8.219218671,6.488084316,42,"(514, 328, 520, 336)",101583.234,7.353651493,0.57466555,0.567567568,0.757388874,0.573637907,2
0,12,519.9107143,512.3928571,9.013438698,7.884223745,56,"(516, 509, 525, 517)",129377.75,8.448831221,0.73190165,0.756756757,0.870186841,0.757225139,2
0,1,324.8888889,502.7037037,6.389712467,5.410460563,27,"(322, 500, 329, 506)",65049.766,5.900086515,0.22467338,0.236842105,0.486307255,0.236494746,3
0,4,360.2307692,477.3589744,7.648318118,6.510317143,39,"(357, 474, 364, 481)",77492.55,7.079317631,0.2676491,0.342105263,0.583503905,0.340476807,3
0,6,366.8947368,522.9385965,13.42389864,10.84095226,114,"(362, 517, 373, 530)",289530.38,12.13242545,1,1,1,1,3
0,18,504.6666667,368.3571429,10.9020603,9.932764993,84,"(500, 364, 510, 375)",173959.88,10.41741265,0.6008346,0.736842105,0.858642214,0.737266451,3
0,19,517.8,362,3.919183588,3.098386677,10,"(516, 361, 520, 364)",19539.47,3.508785133,0.06748677,0.087719298,0.289207228,0.083640821,3
0,21,549.3529412,370,4.752708206,4.538188593,17,"(547, 368, 552, 373)",30764.312,4.6454484,0.106255904,0.149122807,0.382895277,0.146608793,3
0,25,669.8,536.5666667,6.899688586,5.509070064,30,"(667, 534, 673, 540)",47010.445,6.204379325,0.16236793,0.263157895,0.511388209,0.261517901,3
0,27,689.5416667,450.625,5.990898168,5.147623532,24,"(687, 448, 693, 454)",57361.586,5.56926085,0.1981194,0.210526316,0.459039363,0.210717137,3
0,28,704.9156627,558.3373494,10.5463264,10.06948549,83,"(700, 554, 710, 564)",173937.58,10.30790594,0.6007576,0.728070175,0.84961626,0.72184779,3
0,30,716.6969697,527.7575758,7.228959496,5.794395464,33,"(714, 525, 720, 532)",74614.66,6.51167748,0.25770926,0.289473684,0.536716875,0.288065004,3
0,31,724.6666667,523.125,6.081140987,4.93206649,24,"(722, 521, 728, 526)",57454.715,5.506603738,0.19844106,0.210526316,0.453874929,0.206002451,3
0,32,734.36,499.5866667,10.25125677,9.316542106,75,"(730, 495, 740, 505)",181374.31,9.783899439,0.62644315,0.657894737,0.806425679,0.650322377,3
