Distance_(microns),Gray_Value
0.00000,38.435
0.04000,60.430
0.08000,80.169
0.12000,72.419
0.16000,73.711
0.20000,84.604
0.24000,75.422
0.28000,52.671
0.32000,42.460
0.36000,70.581
0.40000,120.978
0.44000,173.271
0.48000,270.061
0.52000,413.069
0.56000,500.311
0.60000,436.277
0.64000,266.422
0.68000,124.060
0.72000,89.481
0.76000,62.390
0.80000,27.086
0.84000,15.963
0.88000,23.314
0.92000,34.883
0.96000,44.668
1.00000,52.425
1.04000,46.166
1.08000,31.795
1.12000,37.461
1.16000,38.303
1.20000,29.634
1.24000,33.650
