,index,label,x,y,length,frame,r,score,intensity,background,area,perimeter,diameter(nm),length(um),final_intensity,cells,nor_intensity,nor_length
0,0,23,202.1081081081081,428.97297297297297,7.213901660802804,0,3.7,0.7083333333333334,12032.39453125,2096.0012130928226,43.00840342764428,23.24778563656447,296.00000000000006,929.9114254625788,9936.393318157176,1,0.46430764768207583,0.74
49,0,215,692.1875,346.3125,6.6416690966393,2,3.2,0.7692307692307693,9215.11328125,2815.5120203606784,32.169908772759484,20.10619298297468,256.0,804.247719318987,6399.601260889322,1,0.29904047800896094,0.64
37,0,186,657.5769230769231,440.75,9.791191132231756,2,3.7,0.7017543859649122,12168.84765625,3799.462779174792,43.00840342764428,23.24778563656447,296.00000000000006,929.9114254625788,8369.384877075208,1,0.39108449921358684,0.74
35,0,178,638.4193548387096,488.4193548387097,6.878668854054159,2,3.0,0.7647058823529411,9395.1748046875,1881.9938781894743,28.274333882308134,18.84955592153876,240.0,753.9822368615504,7513.180926498026,1,0.35107581301331864,0.6
33,0,168,626.0,358.3636363636364,7.319491672452908,2,3.2,0.7948717948717948,11266.431640625,1905.7624604754965,32.169908772759484,20.10619298297468,256.0,804.247719318987,9360.669180149504,1,0.43740521823177814,0.64
31,0,149,583.1153846153846,332.2692307692308,6.7151657566749305,2,2.9000000000000004,0.8214285714285714,8352.068359375,1411.763116621296,26.420794216690165,18.221237390820804,232.00000000000003,728.8494956328321,6940.305242753704,1,0.32430648609390905,0.5800000000000001
30,0,145,577.6470588235294,347.2058823529412,7.90121806021706,2,3.2,0.7317073170731707,11829.7890625,1790.090471549891,32.169908772759484,20.10619298297468,256.0,804.247719318987,10039.698590950107,1,0.46913489502100636,0.64
29,0,140,563.0930232558139,347.4418604651163,9.413637985739088,2,3.2,0.7021276595744681,11222.47265625,1995.818091508001,32.169908772759484,20.10619298297468,256.0,804.247719318987,9226.654564742,1,0.4311429851616388,0.64
27,0,134,543.9487179487179,367.28205128205127,7.298778019431634,2,3.7,0.7142857142857143,15816.8115234375,2274.680780234048,43.00840342764428,23.24778563656447,296.00000000000006,929.9114254625788,13542.130743203452,1,0.6327964955342619,0.74
26,0,131,536.448275862069,405.41379310344826,6.587153268826374,2,3.2,0.7837837837837838,10972.43359375,1817.284701794708,32.169908772759484,20.10619298297468,256.0,804.247719318987,9155.148891955292,1,0.42780166908603096,0.64
