,index,label,x,y,length,frame,r,score,intensity,background,area,perimeter,diameter(nm),length(um),final_intensity,cells,nor_intensity,nor_length
0,0,2,219.59259259259255,583.0740741,6.421500681256116,0,2.9000000000000004,0.7931034482758621,7422.146973,1272.4303498245265,26.420794216690165,18.221237390820804,232.00000000000003,728.8494956328321,6149.716622831724,1,0.3177815075199807,0.4915254237288136
13,0,60,321.0975609756098,628.9512195121952,8.065754884353053,2,3.7,0.72,12237.88867,2181.8290351890028,43.00840342764428,23.24778563656447,296.00000000000006,929.9114254625788,10056.059636685995,1,0.5196385438627629,0.6271186440677966
12,0,53,307.61764705882354,683.6176470588235,6.688315484024421,2,3.2,0.7317073170731707,8567.304688,1886.415563294664,32.169908772759484,20.10619298297468,256.0,804.2477193,6680.889124205336,1,0.34522940611306097,0.5423728813559322
7,0,37,290.3958333333333,503.2708333333333,8.859296668,2,3.7,0.8235294117647058,12904.72461,2539.260828475817,43.00840342764428,23.24778563656447,296.00000000000006,929.9114254625788,10365.463780899185,1,0.5356267464761904,0.6271186440677966
5,0,30,283.26666666666665,616.4333333333333,7.308878549638531,2,3.0,0.7352941176470589,7969.279297,1366.508075802354,28.274333882308134,18.84955592153876,240.0,753.9822368615504,6602.771221072646,1,0.34119272823921526,0.5084745762711864
0,0,8,254.30769230769232,562.6153846153846,8.504497789471163,2,3.2,0.7272727272727273,10196.63281,1840.53018732206,32.169908772759484,20.10619298297468,256.0,804.2477193,8356.102625,1,0.4317946747831519,0.5423728813559322
76,0,377,674.5,675.2941176470588,6.964069923269997,1,3.2,0.8205128205128205,11056.17773,1673.156543604564,32.169908772759484,20.10619298297468,256.0,804.2477193,9383.021190770436,1,0.4848598402119485,0.5423728813559322
75,0,376,670.0,269.5,6.201736729460423,1,2.9000000000000004,0.8214285714285714,6654.508789,1815.1588923763484,26.420794216690165,18.221237390820804,232.00000000000003,728.8494956328321,4839.349896686152,1,0.25006939342149076,0.4915254237288136
71,0,346,634.0377358490566,561.9622641509434,9.426412544,1,3.7,0.7192982456140351,12821.18457,2732.539813863113,43.00840342764428,23.24778563656447,296.00000000000006,929.9114254625788,10088.644756449386,1,0.5213223529089692,0.6271186440677966
70,0,342,630.0943396226415,575.3962264150944,9.479610515,1,3.7,0.7818181818181819,13310.13672,2228.3063193876296,43.00840342764428,23.24778563656447,296.00000000000006,929.9114254625788,11081.83039936237,1,0.5726443975183612,0.6271186440677966
69,0,326,609.0,544.3488372093024,9.354093319285903,1,3.2,0.7391304347826086,12161.52539,2440.1291748872027,32.169908772759484,20.10619298297468,256.0,804.2477193,9721.396215737796,1,0.5023450890674844,0.5423728813559322
68,0,322,603.5,701.0,7.392571411289448,1,3.2,0.8205128205128205,11251.48438,1759.8459323777352,32.169908772759484,20.10619298297468,256.0,804.2477193,9491.638442622265,1,0.49047254664268125,0.5423728813559322
66,0,317,601.3076923076923,534.3333333333334,7.878475086433413,1,3.7,0.7872340425531915,10392.36523,2977.123063,43.00840342764428,23.24778563656447,296.00000000000006,929.9114254625788,7415.242172,1,0.3831764909777007,0.6271186440677966
64,0,302,587.25,492.32142857142856,7.300901449109523,1,3.0,0.7272727272727273,6789.702148,1746.8699753130786,28.274333882308134,18.84955592153876,240.0,753.9822368615504,5042.832173124421,1,0.260584171341514,0.5084745762711864
62,0,300,582.125,560.15625,8.147773263261405,1,3.2,0.725,9631.791016,2430.2947296511265,32.169908772759484,20.10619298297468,256.0,804.2477193,7201.4962859738735,1,0.3721313495421755,0.5423728813559322
60,0,298,579.2333333333333,543.0,7.155417527999328,1,3.2,0.8108108108108109,9727.530273,2402.127137547359,32.169908772759484,20.10619298297468,256.0,804.2477193,7325.403135890141,1,0.3785341332756986,0.5423728813559322
59,0,295,578.5,590.5,6.531972647421808,1,3.0,0.7352941176470589,7649.417969,1935.0974088326911,28.274333882308134,18.84955592153876,240.0,753.9822368615504,5714.320559917309,1,0.2952827769723775,0.5084745762711864
58,0,292,576.3714285714286,478.4285714285714,7.151514825,1,3.2,0.8,10549.07617,2074.088683581984,32.169908772759484,20.10619298297468,256.0,804.2477193,8474.987488293016,1,0.4379379515218394,0.5423728813559322
57,0,290,575.5365853658536,687.4634146341464,8.711418569569874,1,4.0,0.7307692307692307,12181.39844,3190.873136576265,50.26548245743669,25.132741228718345,320.0,1005.309649148734,8990.525300923735,1,0.46457794053744805,0.6779661016949152
55,0,264,554.3684210526316,398.05263157894734,9.082397621367727,1,3.2,0.7045454545454546,9434.175781,2002.5521173188465,32.169908772759484,20.10619298297468,256.0,804.2477193,7431.623663931154,1,0.3840229909907226,0.5423728813559322
54,0,251,536.3428571428572,729.0571428571428,7.123716534336954,1,3.2,0.8947368421052632,11419.56055,1783.8340645822464,32.169908772759484,20.10619298297468,256.0,804.2477193,9635.726482292754,1,0.49791817662375876,0.5423728813559322
15,0,66,326.0952380952381,379.2142857142857,9.231330531334278,2,3.2,0.7555555555555555,9634.707031,1855.3451287215576,32.169908772759484,20.10619298297468,256.0,804.2477193,7779.361902528442,1,0.40199207614718724,0.5423728813559322
18,0,71,336.51851851851853,466.8518518518519,9.720629883895072,2,4.0,0.7166666666666667,14990.95117,2575.9118868527003,50.26548245743669,25.132741228718345,320.0,1005.309649148734,12415.03929,1,0.6415368615276675,0.6779661016949152
19,0,78,346.3469387755102,685.4693878,9.692053343606172,2,4.2,0.7377049180327869,13095.74023,3134.7304427577183,55.41769440932395,26.389378290154266,336.0,1055.5751316061703,9961.009791617282,1,0.5147269219282926,0.711864406779661
20,0,85,354.3829787234043,363.0212765957447,8.197311838561168,2,3.7,0.8775510204081632,13875.89648,2013.88959469512,43.00840342764428,23.24778563656447,296.00000000000006,929.9114254625788,11862.00688967988,1,0.6129593707814032,0.6271186440677966
88,0,415,742.6,267.8235294117647,12.051264981476434,2,5.9,0.7017543859649122,21627.29883,7558.148051742464,109.3588402714607,37.07079331235956,472.00000000000006,1482.8317324943823,14069.150776382536,1,0.7270117010994975,1.0
79,0,365,683.8148148148148,675.0740741,6.706872258255388,2,2.9000000000000004,0.7333333333333333,6105.444824,1235.2195503932307,26.420794216690165,18.221237390820804,232.00000000000003,728.8494956328321,4870.225273825519,1,0.25166485293521357,0.4915254237288136
77,0,359,671.0357142857143,268.10714285714283,7.149492899030187,2,3.0,0.78125,8697.146484,1655.1009955201298,28.274333882308134,18.84955592153876,240.0,753.9822368615504,7042.045489,1,0.3638918618152942,0.5084745762711864
71,0,333,630.7209302325581,573.6511627906976,8.515092870997924,2,3.7,0.7254901960784313,10495.58008,2724.8602517321706,43.00840342764428,23.24778563656447,296.00000000000006,929.9114254625788,7770.719826392829,1,0.4015455040283547,0.6271186440677966
70,0,330,624.5517241,696.3103448275862,6.258786926641891,2,3.0,0.7575757575757576,8775.140625,1421.4985875422135,28.274333882308134,18.84955592153876,240.0,753.9822368615504,7353.642037457786,1,0.37999335510025517,0.5084745762711864
69,0,318,608.8947368421053,545.1052631578947,7.686142745929257,2,3.7,0.7291666666666666,12979.26953,2619.564386887941,43.00840342764428,23.24778563656447,296.00000000000006,929.9114254625788,10359.705144362058,1,0.5353291737078398,0.6271186440677966
68,0,315,604.3823529411765,701.0294117647059,7.306497778267987,2,3.2,0.868421053,9813.052734,1805.3119843469467,32.169908772759484,20.10619298297468,256.0,804.2477193,8007.740750028053,1,0.41379336373410763,0.5423728813559322
64,0,295,580.4444444444445,586.3333333333334,7.853483515842516,2,3.2,0.7804878048780488,11497.72168,2497.571396036539,32.169908772759484,20.10619298297468,256.0,804.2477193,9000.150284,1,0.46507530355747306,0.5423728813559322
63,0,293,579.6071428571429,543.25,6.708134964734611,2,3.2,0.7567567567567568,9547.055664,2039.6535442657769,32.169908772759484,20.10619298297468,256.0,804.2477193,7507.402119796723,1,0.38793877986676495,0.5423728813559322
62,0,291,576.5,687.5555555555555,7.2076776623230465,2,3.2,0.7380952380952381,10058.57715,2211.166670984123,32.169908772759484,20.10619298297468,256.0,804.2477193,7847.410477453377,1,0.40550842983476165,0.5423728813559322
51,0,233,520.225,680.375,8.216736380150904,1,3.7,0.8085106382978723,12078.55273,2457.110212355037,43.00840342764428,23.24778563656447,296.00000000000006,929.9114254625788,9621.442522019965,1,0.49718006482003924,0.6271186440677966
57,0,253,534.3783783783783,728.4324324324324,7.0052020811204025,2,3.2,0.8048780487804879,11392.78125,1915.4374341096263,32.169908772759484,20.10619298297468,256.0,804.2477193,9477.343815890374,1,0.48973388365853154,0.5423728813559322
54,0,239,520.0769230769231,679.8205128205128,7.939280675040846,2,3.2,0.7272727272727273,10604.37793,1894.1798843875292,32.169908772759484,20.10619298297468,256.0,804.2477193,8710.198045,1,0.4500922620176198,0.5423728813559322
53,0,237,517.0,443.1621621621622,7.456274194246231,2,3.2,0.8974358974358975,10913.00195,2307.1727339936187,32.169908772759484,20.10619298297468,256.0,804.2477193,8605.829219131381,1,0.4446990894770373,0.5423728813559322
48,0,217,494.2631578947368,704.6052631578947,7.373174942814463,2,3.2,0.7857142857142857,11687.35156,1821.2849187999964,32.169908772759484,20.10619298297468,256.0,804.2477193,9866.066643700004,1,0.5098208134806562,0.5423728813559322
47,0,211,492.0243902439024,468.1707317073171,9.04435832,2,3.2,0.7333333333333333,10991.41016,1986.4851681909056,32.169908772759484,20.10619298297468,256.0,804.2477193,9004.924988059094,1,0.46532203243083736,0.5423728813559322
37,0,164,442.4516129032258,272.1935483870968,7.018683057325421,2,3.2,0.8378378378378378,9538.083984,1735.4772893232291,32.169908772759484,20.10619298297468,256.0,804.2477193,7802.606695051771,1,0.4031932315276852,0.5423728813559322
29,0,123,385.0,483.77777777777777,6.798692685,2,3.2,0.7297297297297297,9919.482422,2379.6256909850053,32.169908772759484,20.10619298297468,256.0,804.2477193,7539.856730889995,1,0.38961584498565255,0.5423728813559322
26,0,116,381.15625,493.125,7.400640475299221,2,3.0,0.7941176470588235,10120.89844,1673.2716962557752,28.274333882308134,18.84955592153876,240.0,753.9822368615504,8447.626741244225,1,0.43652410760393306,0.5084745762711864
