,0
0,2057.814609828536
1,2007.3875638621187
2,2514.1585343699135
3,2083.6833800530276
4,1991.0751968723496
5,2775.455002315049
6,1745.7507995277535
7,2444.3570474495205
8,2701.9590020304804
9,2492.9823244300096
10,2308.676418582723
11,2323.338298412036
12,2142.6049009593476
13,2057.452673561052
14,2036.1107355718689
15,2871.33248932664
16,1996.9223377368628
17,1973.3917927006155
18,2145.028444826718
19,2178.0562651989594
20,1624.4106854159716
21,2594.6695251286906
22,2633.158500586801
23,2090.872138493783
24,1890.4382234634074
25,2654.82674082597
26,2385.297933948081
27,2446.4034763327086
28,3364.238837897746
29,2498.751328691232
30,2139.7451886587355
31,2118.8530004426666
32,2162.0874209937624
33,2178.367761729201
34,1951.1477774367268
35,2017.9191307607389
36,1842.265424973111
37,2487.1975141409025
38,1806.8061509377785
39,2423.1659966085563
40,4103.761247940747
41,3213.336872960881
42,1784.6634581395936
43,2557.2096472615194
44,3488.2585574282034
45,2018.1126619964227
46,2250.251553294879
47,2309.4774691629405
48,2115.94524241403
49,2215.7825476503854
50,2042.6763010102147
51,2942.4825598554175
52,3099.0221099977707
53,2421.0236947426433
54,1554.450844603232
55,2031.5337583026937
56,2140.9750161193256
57,2118.017477792053
58,1956.3633032091645
59,1770.036811066207
60,2487.5034325728816
61,1871.3659714400308
62,2100.1244311335117
63,2246.0655081767295
64,2651.743004021289
65,2168.425164464947
66,2076.2009872623
67,2036.0898310779655
68,1646.6287654488124
69,2007.7477965073886
70,1990.5920324619551
71,2357.8618085640055
72,2258.5668455051223
73,2317.253388470265
74,1868.4830147872678
75,3027.476465649561
76,1739.6214860100024
77,2132.509583329832
78,2249.377884892346
79,1739.8693572143711
80,2409.7334479080364
81,2619.968831262707
82,1886.4196684806495
83,2652.3520778763786
84,2355.6764515066543
