LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,EXTRACK_P_STUCK,EXTRACK_P_DIFFUSIVE,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Probability stuck,Probability diffusive,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,P stuck,P diffusive,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,,,
ID523335,523335,15,41.67604064941406,6.105371336193356,6.49997667122586,0.0,0.0,0,0.75,1,,675.1351351351351,673.0,552.0,929.0,24980.0,90.35859491866657,28290.108108108107,27213.0,24892.0,38626.0,1046734.0,3276.098931688451,,,0.0712910919072764,0.9944409722414366,-0.03162102528404263,-0.5639468699113871
ID523334,523334,16,44.12218475341797,19.181161487314903,5.689046031781697,0.0,0.0,0,0.75,1,,719.8918918918919,690.0,545.0,936.0,26636.0,101.94191804480948,41408.16216216216,41455.0,30737.0,50326.0,1532102.0,5118.789106558056,,,0.05652254337905636,0.7555920935551707,0.019066322498429888,0.30270054241932154
ID523333,523333,41,41.69560241699219,13.170168298759647,4.968674892937934,0.0,0.0,0,0.75,1,,663.2162162162163,639.0,508.0,961.0,24539.0,103.15014276263486,38515.89189189189,38723.0,32398.0,43540.0,1425088.0,2702.43369518604,,,0.058471380217222424,0.7103616782433702,0.04204028760603057,1.149995327617902
ID523332,523332,,19.358966827392578,20.791809804739227,4.687057044236826,0.0,0.0,0,0.75,1,,652.918918918919,639.0,556.0,792.0,24158.0,64.67155410155156,27276.91891891892,27657.0,17873.0,36546.0,1009246.0,4422.224976552328,,,0.03028145795845795,0.5934673739274902,0.0198127208660124,0.2396669622714495
ID523331,523331,7,19.737634658813477,18.407343082576222,3.4074864625455734,0.0,0.0,0,0.75,1,,651.4054054054054,639.0,544.0,874.0,24102.0,71.13112284110687,32333.891891891893,32656.0,25112.0,37594.0,1196354.0,3240.6952081972213,,,0.02862988832059866,0.5097793088009468,0.07355246513428915,1.3671738717549828
ID523330,523330,8,31.294965744018555,13.39473131021361,2.5450402501932476,0.0,0.0,0,0.75,1,,631.972972972973,606.0,544.0,819.0,23383.0,75.3548960609751,32800.24324324324,31588.0,26950.0,39649.0,1213609.0,3345.57697569497,,,0.04044785132889819,0.6520669137633038,0.008737571027935204,0.1698433533593927
ID523329,523329,,22.289445877075195,10.02110620974085,2.0324783586452817,0.0,0.0,0,0.75,1,,601.918918918919,597.0,523.0,751.0,22271.0,58.32494148131483,25012.62162162162,24993.0,16846.0,30509.0,925467.0,3485.4266146608493,,,0.03983775150705016,0.7907567641643923,0.06961986455777237,0.934193798721182
