LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,EXTRACK_P_STUCK,EXTRACK_P_DIFFUSIVE,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Probability stuck,Probability diffusive,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,P stuck,P diffusive,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,,,
ID286245,286245,25,28.653621673583984,9.376823904449173,3.061522972932493,0.0,0.0,0,0.75,1,,642.1621621621622,637.0,522.0,832.0,23760.0,77.1213018250807,21252.08108108108,21769.0,14380.0,25711.0,786327.0,2540.23664009629,,,0.04861844316418782,0.7721184178378622,0.09936610818278745,1.512353166864526
ID286247,286247,7,37.38063430786133,18.270639569618535,3.2682954528789097,0.0,0.0,0,0.75,1,,719.8648648648649,714.0,562.0,1049.0,26635.0,107.21296619402021,26524.216216216217,26515.0,22708.0,29682.0,981396.0,1640.7255023842881,,,0.06342958767744765,0.8009710326834507,0.04116852918763791,1.2784417517731106
ID286252,286252,11,31.87034797668457,17.64608326441089,4.993793548706815,0.0,0.0,0,0.75,1,,693.5675675675676,685.0,533.0,860.0,25662.0,71.40399169535293,32023.945945945947,30775.0,25416.0,40082.0,1184886.0,3655.165446521052,,,0.03387699223444041,0.6365496084043304,0.04196732685221532,0.7057566947791041
ID286254,286254,6,25.003379821777344,7.368479097738436,5.6663080045809915,0.0,0.0,0,0.75,1,,640.1351351351351,632.0,521.0,904.0,23685.0,84.00931236812121,24577.513513513513,24876.0,17033.0,29706.0,909368.0,3093.24859457947,,,0.04840159870986382,0.7035682987415788,0.1350323961982081,1.8905267727242936
ID286255,286255,,18.178524017333984,13.483437534096222,5.982329061570596,0.0,0.0,0,0.75,1,,613.5135135135135,603.0,537.0,889.0,22700.0,67.70713962911708,32192.972972972973,32102.0,28027.0,36604.0,1191140.0,1970.2113604394845,,,0.02329815131878374,0.41260922540252276,0.0379012417696849,1.1933715204518247
ID286248,286248,,17.109703063964844,20.62092848899788,3.8519369846462226,0.0,0.0,0,0.75,1,,618.918918918919,615.0,522.0,827.0,22900.0,61.975074908465494,22893.45945945946,24198.0,16159.0,27249.0,847058.0,3099.370201209295,,,0.03711961539131497,0.7148605204425929,0.02472016991918712,0.35638066497336884
ID286250,286250,,31.27890396118164,17.075738914390833,4.7465424556690055,0.0,0.0,0,0.75,1,,675.8378378378378,675.0,499.0,850.0,25006.0,83.27348301213881,33826.48648648649,34164.0,25989.0,40082.0,1251580.0,4181.977407224307,,,0.03539195510343671,0.5548371556223652,0.07458268128482655,1.1228024702615789
