Distance_(microns),Gray_Value
0.00000,317.500
0.08000,326.338
0.16000,346.760
0.24000,368.240
0.32000,409.473
0.40000,467.750
0.48000,550.120
0.56000,587.551
0.64000,559.853
0.72000,477.815
0.80000,442.000
0.88000,428.527
0.96000,399.240
1.04000,396.912
1.12000,353.527
1.20000,335.688
