,intensity,area,perimeter,label,frame,cells,background,final_intensity
0,919616.0,3662.0,943.8015257366136,3.0,0.0,1,118242.1599220276,801373.8400779724
1,49682.0,239.0,108.29246669572176,1.0,1.0,1,7717.0606830596935,41964.939316940305
2,85058.9296875,386.0,144.64404832766766,2.0,1.0,1,12463.537337493897,72595.3923500061
3,999511.5,3989.0,1109.0170276165454,6.0,1.0,1,128800.64880638124,870710.8511936187
4,802533.75,3300.0,945.1191643039996,1.0,2.0,1,106553.55754852296,695980.192451477
5,152572.796875,720.0,275.0624166196312,4.0,2.0,1,23248.048919677738,129324.74795532227
6,71646.484375,340.0,167.9364871873648,1.0,3.0,1,10978.245323181154,60668.23905181885
7,976351.6875,4127.0,1349.7124945967178,2.0,3.0,1,133256.52484931948,843095.1626506805
8,79705.953125,409.0,213.8639480840104,1.0,4.0,1,13206.18334465027,66499.76978034973
9,661867.5,3206.0,995.7821341443112,3.0,4.0,1,103518.3956062317,558349.1043937684
0,51783.046875,254.0,101.22388322514472,13.0,0.0,2,8418.367935180664,43364.678939819336
1,177765.59375,823.0,272.76203865835464,12.0,0.0,2,27276.83783721924,150488.75591278076
2,40824.078125,203.0,88.96648689911056,11.0,0.0,2,6728.065711975098,34096.0124130249
3,88704.1328125,423.0,177.83768902320662,15.0,1.0,2,14019.56549835205,74684.56731414795
4,158225.03125,752.0,262.95612159752733,14.0,1.0,2,24923.671997070312,133301.3592529297
5,95365.515625,446.0,157.40098849205583,12.0,1.0,2,14781.858657836914,80583.65696716309
6,95365.515625,446.0,157.40098849205583,12.0,1.0,2,14781.858657836914,80583.65696716309
7,97391.2265625,464.0,175.5604310252116,6.0,1.0,2,15378.435913085938,82012.79064941406
8,72435.90625,312.0,108.98258008410474,19.0,2.0,2,10340.672424316406,62095.233825683594
9,160398.21875,650.0,194.71218955461097,20.0,2.0,2,21543.06755065918,138855.15119934082
10,84838.203125,392.0,147.46031841011532,21.0,2.0,2,12992.126892089844,71846.07623291016
11,368351.03125,1700.0,542.977313276488,16.0,2.0,2,56343.40744018555,312007.62380981445
12,432531.6875,1657.0,416.37430274368,15.0,3.0,2,54918.250663757324,377613.4368362427
13,599342.625,2768.0,930.8472443417322,12.0,3.0,2,91740.32458496094,507602.30041503906
14,183698.0,827.0,270.254742864232,19.0,4.0,2,27409.41056060791,156288.5894393921
15,317862.3125,1345.0,427.0935993085536,21.0,4.0,2,44577.57823944092,273284.7342605591
16,364338.40625,1583.0,473.7737618029623,20.0,4.0,2,52465.655281066895,311872.7509689331
17,46181.92578125,213.0,111.01345200315492,18.0,4.0,2,7059.497520446777,39122.42826080322
0,81352.34375,393.0,145.7384207793901,0.0,0.0,3,12192.059370803834,69160.28437919616
1,51406.96484375,245.0,100.8985606540026,1.0,0.0,3,7600.647699356079,43806.31714439392
2,64530.9140625,308.0,130.99007694205042,0.0,1.0,3,9555.099964904786,54975.81409759521
3,62446.0703125,270.0,94.09948322565188,1.0,2.0,3,8376.22399520874,54069.84631729126
4,51192.12890625,218.0,87.2609375512025,2.0,2.0,3,6763.025299835205,44429.10360641479
5,77123.1171875,356.0,149.76069637139184,9.0,2.0,3,11044.206452941895,66078.9107345581
6,169246.96875,782.0,251.73050951383533,10.0,2.0,3,24260.02653427124,144986.94221572875
7,200016.53125,899.0,332.43875571563194,1.0,3.0,3,27889.723598861696,172126.8076511383
8,109215.0390625,492.0,164.06531289929336,3.0,3.0,3,15263.341502380372,93951.69756011963
9,140153.390625,689.0,257.9347583288176,9.0,3.0,3,21374.882713699342,118778.50791130067
10,92632.171875,451.0,164.92964755488816,10.0,3.0,3,13991.396377182007,78640.77549781799
11,52526.96484375,242.0,91.68747220654372,0.0,4.0,3,7507.5785438537605,45019.38629989624
12,50691.54296875,243.0,132.291367226619,1.0,4.0,3,7538.601595687866,43152.94137306213
13,135479.875,669.0,292.8108284089831,4.0,4.0,3,20754.421677017213,114725.4533229828
14,117561.0,583.0,212.15839873610236,10.0,4.0,3,18086.439219284057,99474.56078071594
