,intensity,area,perimeter,label,frame,cells,background,final_intensity
0,87141.4140625,411.0,177.78187249429084,0.0,0.0,1,17305.641898948797,69835.7721635512
1,134430.484375,653.0,256.824037594278,1.0,0.0,1,27495.33858884079,106935.1457861592
2,567860.1875,2593.0,789.1705674004426,5.0,0.0,1,109181.33684665263,458678.8506533474
3,239951.0625,1086.0,378.6030260888696,0.0,1.0,1,45727.31655050704,194223.74594949296
4,98920.3984375,444.0,179.694339675045,2.0,1.0,1,18695.145993024977,80225.25244447502
5,513275.1875,2341.0,707.7885560930802,9.0,1.0,1,98570.57831007088,414704.6091899291
6,97606.2109375,440.0,152.99757379999613,0.0,2.0,1,18526.721254349075,79079.48968315092
7,232829.9375,1099.0,383.25282685987406,2.0,2.0,1,46274.69695120372,186555.24054879628
8,254268.015625,1214.0,402.64139486586544,13.0,2.0,1,51116.908188135865,203151.10743686414
9,158925.359375,702.0,232.3092449422097,14.0,2.0,1,29558.541637620572,129366.81773737943
10,71077.1953125,321.0,116.29754963362656,15.0,2.0,1,13516.085278741031,57561.11003375897
11,667408.5,2990.0,959.8607364608748,1.0,3.0,1,125897.49216023578,541511.0078397642
12,104636.171875,453.0,156.3855525325307,6.0,3.0,1,19074.101655045753,85562.07021995424
13,509501.8125,2343.0,772.7561424612934,0.0,4.0,1,98654.79067940883,410847.0218205912
14,127311.421875,562.0,180.8445286556833,5.0,4.0,1,23663.67578396405,103647.74609103595
0,56664.05859375,287.0,132.3866520016335,9.0,0.0,2,10936.452075499663,45727.60651825034
1,99510.75,479.0,213.59444204178405,5.0,0.0,2,18252.82419569456,81257.92580430544
2,50127.50390625,245.0,119.24857273718736,0.0,1.0,2,9335.99567420703,40791.50823204297
3,95740.6875,412.0,112.87010265499327,12.0,1.0,2,15699.715174584882,80040.97232541512
4,55199.3515625,264.0,111.33877457429708,0.0,2.0,2,10060.011665267983,45139.339897232014
5,128492.484375,613.0,225.24066147163265,4.0,2.0,2,23359.042237913916,105133.44213708608
6,307472.5625,1440.0,439.7552546979273,8.0,2.0,2,54872.790901461725,252599.77159853827
7,142790.890625,727.0,313.2475289401339,4.0,3.0,2,27703.138184279636,115087.75244072036
8,417494.5625,2148.0,682.0051697220774,8.0,3.0,2,81851.9130946804,335642.6494053196
9,44425.9296875,224.0,107.87185934956511,0.0,4.0,2,8535.767473560712,35890.162213939286
10,77296.71875,386.0,157.67049453428214,9.0,4.0,2,14708.956449975158,62587.76230002484
11,172533.375,895.0,356.30290322541606,10.0,4.0,2,34104.96378945017,138428.41121054982
12,53877.71484375,281.0,136.31364281862074,8.0,4.0,2,10707.815446743572,43169.899397006426
0,145948.15625,769.0,238.6482467783051,0.0,0.0,3,25854.20702098103,120093.94922901897
1,321258.375,1583.0,427.7673644141194,0.0,1.0,3,53221.33903018592,268037.03596981405
2,146712.71875,682.0,191.05470477985008,1.0,1.0,3,22929.218710414905,123783.5000395851
