Distance_(microns),Gray_Value
0.00000,179.058
0.04000,192.471
0.08000,193.521
0.12000,186.248
0.16000,175.266
0.20000,165.275
0.24000,161.014
0.28000,162.252
0.32000,170.929
0.36000,195.948
0.40000,229.332
0.44000,234.840
0.48000,195.764
0.52000,153.647
0.56000,154.802
0.60000,182.281
0.64000,191.403
0.68000,182.776
0.72000,183.754
0.76000,191.459
0.80000,191.825
0.84000,197.306
0.88000,212.112
0.92000,204.762
0.96000,164.259
1.00000,133.049
1.04000,140.337
1.08000,155.806
1.12000,146.872
1.16000,128.628
1.20000,124.930
1.24000,127.801
1.28000,122.808
1.32000,118.163
1.36000,126.830
1.40000,141.304
1.44000,141.978
1.48000,125.046
1.52000,111.945
1.56000,122.066
1.60000,142.476
1.64000,145.929
1.68000,134.026
1.72000,131.083
1.76000,138.702
1.80000,135.028
1.84000,118.660
1.88000,113.433
1.92000,127.246
1.96000,141.847
2.00000,145.324
2.04000,143.784
2.08000,140.724
2.12000,132.404
2.16000,123.529
2.20000,124.345
2.24000,132.509
2.28000,135.783
2.32000,131.050
2.36000,127.079
2.40000,130.229
2.44000,136.346
2.48000,136.794
2.52000,129.636
2.56000,122.027
2.60000,119.159
2.64000,119.490
2.68000,126.868
2.72000,147.771
2.76000,166.466
2.80000,155.565
2.84000,125.554
2.88000,121.320
2.92000,155.460
2.96000,192.850
3.00000,206.926
3.04000,200.784
3.08000,181.842
3.12000,165.955
3.16000,178.582
3.20000,205.714
3.24000,193.902
3.28000,141.529
3.32000,120.124
3.36000,162.724
3.40000,209.210
3.44000,204.135
3.48000,175.312
3.52000,176.026
3.56000,205.350
3.60000,219.340
3.64000,193.322
3.68000,153.587
3.72000,147.911
