Distance_(microns),Gray_Value
0.00000,194.135
0.04000,191.966
0.08000,189.684
0.12000,188.709
0.16000,185.151
0.20000,183.873
0.24000,193.388
0.28000,204.874
0.32000,204.313
0.36000,198.745
0.40000,200.691
0.44000,203.428
0.48000,201.349
0.52000,208.393
0.56000,227.745
0.60000,235.311
0.64000,218.805
0.68000,199.719
0.72000,195.562
0.76000,192.675
0.80000,175.768
0.84000,159.196
0.88000,170.030
0.92000,210.241
0.96000,247.359
1.00000,244.269
1.04000,197.832
1.08000,145.523
1.12000,129.581
1.16000,154.385
1.20000,184.029
1.24000,184.354
1.28000,158.982
1.32000,134.914
1.36000,125.131
1.40000,124.946
1.44000,132.640
1.48000,147.083
1.52000,155.529
1.56000,149.255
1.60000,139.331
1.64000,137.564
1.68000,139.206
1.72000,138.210
1.76000,138.497
1.80000,141.571
1.84000,143.011
1.88000,142.909
1.92000,143.837
1.96000,143.743
2.00000,141.444
2.04000,139.557
2.08000,138.247
2.12000,137.107
2.16000,139.604
2.20000,145.226
2.24000,146.770
2.28000,142.771
2.32000,139.492
2.36000,138.110
2.40000,135.170
2.44000,133.887
2.48000,139.703
2.52000,148.039
2.56000,148.138
2.60000,136.571
2.64000,123.013
2.68000,123.717
2.72000,143.715
2.76000,165.470
2.80000,168.183
2.84000,155.105
2.88000,143.536
2.92000,138.607
2.96000,141.491
3.00000,164.228
3.04000,204.282
3.08000,228.487
3.12000,217.853
3.16000,200.296
3.20000,203.703
3.24000,210.427
3.28000,195.268
3.32000,173.770
3.36000,175.483
3.40000,198.129
3.44000,217.953
3.48000,222.382
3.52000,215.120
3.56000,209.019
3.60000,217.428
3.64000,233.783
3.68000,230.669
3.72000,199.640
