Distance_(microns),Gray_Value
0.00000,150.775
0.04000,135.426
0.08000,161.294
0.12000,211.190
0.16000,223.457
0.20000,184.129
0.24000,145.668
0.28000,145.262
0.32000,164.499
0.36000,177.032
0.40000,181.516
0.44000,182.342
0.48000,180.832
0.52000,182.955
0.56000,184.852
0.60000,167.854
0.64000,136.056
0.68000,130.870
0.72000,175.805
0.76000,234.219
0.80000,252.450
0.84000,219.619
0.88000,162.400
0.92000,111.846
0.96000,95.451
1.00000,125.449
1.04000,172.616
1.08000,185.980
1.12000,155.565
1.16000,120.343
1.20000,106.527
1.24000,103.432
1.28000,105.919
1.32000,125.810
1.36000,151.351
1.40000,151.213
1.44000,129.442
1.48000,123.039
1.52000,138.448
1.56000,144.169
1.60000,130.335
1.64000,122.270
1.68000,131.220
1.72000,140.504
1.76000,142.231
1.80000,143.998
1.84000,141.054
1.88000,123.488
1.92000,108.406
1.96000,123.645
2.00000,158.324
2.04000,169.342
2.08000,144.556
2.12000,121.934
2.16000,130.791
2.20000,149.377
2.24000,145.067
2.28000,125.739
2.32000,119.859
2.36000,129.521
2.40000,135.717
2.44000,132.428
2.48000,128.226
2.52000,128.303
2.56000,133.188
2.60000,142.828
2.64000,153.344
2.68000,158.236
2.72000,151.476
2.76000,131.665
2.80000,119.033
2.84000,151.955
2.88000,230.592
2.92000,288.755
2.96000,271.205
3.00000,207.631
3.04000,160.488
3.08000,147.059
3.12000,161.201
3.16000,205.165
3.20000,249.756
3.24000,240.137
3.28000,186.283
3.32000,164.338
3.36000,193.865
3.40000,206.908
3.44000,171.188
3.48000,147.530
3.52000,184.075
3.56000,236.106
3.60000,238.036
3.64000,196.982
3.68000,170.202
3.72000,184.089
