,0
0,565.8924862566815
1,416.20244867573257
2,431.13072369390215
3,577.1552317448612
4,502.22145846497386
5,495.4874981653238
6,451.1861974665306
7,579.4041830245218
8,464.3379638836977
9,638.9983742325279
10,643.8778019227294
11,476.4859926951213
12,556.8983768248173
13,453.64755151012633
14,542.2125770521152
15,583.5179461840867
16,858.5121113903779
17,813.3523039457191
18,505.532699873115
19,798.0390731900169
20,581.7754235453211
21,706.7807798241307
22,543.9015120077578
23,427.7606961453561
24,721.8732378244939
25,533.622406078439
26,587.1379529834121
27,673.4309017508019
28,657.5763932556057
29,509.51636780243126
30,461.7768946377705
31,712.2912497534244
32,516.7542889811608
33,510.1577147620272
34,614.631900710155
35,548.1329873542061
36,671.9369420246948
37,433.40895835573997
38,647.3079299701011
39,457.34340436909747
40,638.780924646098
41,657.6676916054529
42,636.7765509206588
43,830.7049857196473
44,418.8815642398019
45,626.6761302915744
46,647.0260875839099
47,660.164369532346
48,520.3116672337819
49,703.8345647841554
50,488.89672822823263
51,622.0085897204854
52,665.679891569731
53,512.0397043111967
54,739.1292690206166
55,828.215008959891
56,484.49067692079456
57,723.9932402287963
