,0
0,2180.908558643216
1,1060.996957936183
2,1221.5415455308425
3,2479.120720433396
4,1695.919582151954
5,1858.5985878523989
6,1582.3177942985014
7,2539.3187402290505
8,1825.9742046620931
9,1922.8689870430812
10,3677.8646627889925
11,2035.9275001750898
12,2460.2881297751833
13,1739.9384167775806
14,2918.8874859428047
15,2352.008822243974
16,2634.00846300357
17,2162.8975200357218
18,2031.1839262513727
19,937.0982267628141
20,2254.5174789448274
21,1361.684983681913
22,1881.8682437793316
23,2556.5180359294254
24,1540.0372489513084
25,2645.3664951297314
26,3106.325054056508
27,2363.7631688539523
28,1359.043199905281
29,1451.8896574139446
30,1690.2666440836733
31,3387.3833517941757
32,1878.76109225951
33,1941.3315976358008
34,2239.2781679130144
35,1829.0656012873985
36,2068.323427247214
37,2584.5294199146797
38,2073.6679467393346
39,4294.181226663298
40,1664.7977628797278
41,6034.558204274709
42,3809.342028144558
43,1771.905609002319
44,1275.256403818531
45,2012.575383690686
46,1769.323113197032
47,3455.8598243601264
48,2857.153213829035
49,1975.8694401372563
50,2712.637772402143
51,2078.5378422209965
52,2829.766078366968
53,3927.0832447024713
54,2344.67798784079
55,2808.065853021205
56,1707.0063886125006
57,2051.648131924564
58,2947.7663201520036
59,1627.2041677420475
60,1340.3180085521622
61,3421.9063710651744
62,2570.5205999192744
63,2088.217666013621
64,1605.0593390682507
65,1296.601747239295
66,4576.721334387794
67,2312.4906317796413
68,4130.715527720849
69,3124.2721287807262
70,2419.113126155188
71,3345.537445172961
72,2141.438822342241
