LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,EXTRACK_P_STUCK,EXTRACK_P_DIFFUSIVE,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Probability stuck,Probability diffusive,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,P stuck,P diffusive,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,,,
ID492871,492871,0,27.941238403320312,15.759268061615822,13.027705288137232,0.0,0.0,0,0.75,1,,616.1351351351351,593.0,531.0,806.0,22797.0,78.89555759996256,20198.054054054053,18978.0,14993.0,27302.0,747328.0,3383.4203843148134,,,0.05494728462830035,0.8135212426490597,0.05812133742058578,0.6558185419616962
ID492870,492870,1,20.513071060180664,8.371656906619977,12.034122226978178,0.0,0.0,0,0.75,1,,592.918918918919,590.0,507.0,698.0,21938.0,49.895100170467856,11811.945945945947,11995.0,8582.0,14662.0,437042.0,1714.7674922719268,,,0.032911621632022076,0.7572748306990583,4.957423750045302E-4,0.006826325658327629
ID492869,492869,2,30.879627227783203,18.027436523913906,11.657159821719587,0.0,0.0,0,0.75,1,,636.1891891891892,641.0,524.0,744.0,23539.0,61.22083788213773,18945.62162162162,18297.0,14335.0,24577.0,700988.0,2976.5718382744285,,,0.052240753022651486,1.031837534493944,0.018872645440483886,0.23579541982224916
ID492867,492867,,16.896089553833008,23.23569139378285,10.188038835996046,0.0,0.0,0,0.75,1,,583.0,585.0,504.0,676.0,21571.0,45.34007302841739,18930.243243243243,18814.0,15573.0,21627.0,700419.0,1274.5673864188282,,,0.02404215610934241,0.6037705317069607,0.0716498783952625,1.9860305611750344
ID492866,492866,3,21.48020362854004,8.178323830230733,10.05087115540823,0.0,0.0,0,0.75,1,,603.1621621621622,600.0,480.0,758.0,22317.0,62.848368454697514,12345.216216216217,11423.0,7464.0,19862.0,456773.0,3394.2819739406773,,,0.03773383705029147,0.6979351464104192,0.07389955620287003,0.500563231847588
ID492865,492865,4,21.83782958984375,15.625513156032065,9.239972480134762,0.0,0.0,0,0.75,1,,617.4594594594595,622.0,530.0,753.0,22846.0,54.82628860247539,13947.837837837838,13621.0,10436.0,19239.0,516070.0,1686.8981645070983,,,0.0346471975177009,0.7542675472441718,-0.04414146333340542,-0.763661898254696
ID492864,492864,5,23.606977462768555,13.081848880988424,7.905955335533933,0.0,0.0,0,0.75,1,,607.027027027027,606.0,488.0,733.0,22460.0,61.13668042749536,20141.91891891892,19866.0,15133.0,26308.0,745251.0,2360.8410622108854,,,0.031213792193097337,0.6010823717647223,0.0793013161927232,1.253723532354253
