LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,EXTRACK_P_STUCK,EXTRACK_P_DIFFUSIVE,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Probability stuck,Probability diffusive,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,P stuck,P diffusive,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,,,
ID336133,336133,0,23.22140121459961,21.435607315443026,31.175799760001798,0.0,0.47652143985033035,10,0.75,1,,590.8918918918919,585.0,496.0,716.0,21863.0,51.052687264010665,11987.837837837838,11717.0,10146.0,14393.0,443550.0,1189.1026615223934,,,0.03952167643667598,0.8800781278760785,0.015011908003648534,0.29820592005779123
ID336004,336004,0,25.40623664855957,21.46542375809776,31.095154195551274,0.0,0.19060857594013214,4,0.75,1,,592.1621621621622,574.0,522.0,761.0,21910.0,59.146951416466614,11987.837837837838,11717.0,10146.0,14393.0,443550.0,1189.1026615223934,,,0.040910262009132586,0.786968329424648,0.015011908003648534,0.29820592005779123
ID335878,335878,0,21.329195022583008,21.390858753128146,31.3104524584594,0.0,0.33356500789523125,7,0.75,1,,583.2432432432432,576.0,504.0,789.0,21580.0,60.76521547243465,11743.702702702703,11540.0,9119.0,14393.0,434517.0,1300.9247109666276,,,0.037734584047521814,0.6980362010822088,0.011127573126194404,0.19869062881009408
ID336212,336212,0,28.812610626220703,21.35142425527026,31.283284365199346,0.0,0.3812171518802643,8,0.75,1,,585.8378378378378,571.0,497.0,729.0,21676.0,57.76028696908241,11743.702702702703,11540.0,9119.0,14393.0,434517.0,1300.9247109666276,,,0.043852565289868445,0.8521850531802357,0.011127573126194404,0.19869062881009408
ID336596,336596,0,21.581314086914062,21.512444736818278,31.30125578499052,0.0,1.0483471676707268,22,0.75,1,,578.5405405405405,573.0,507.0,727.0,21406.0,54.12105494711451,11743.702702702703,11540.0,9119.0,14393.0,434517.0,1300.9247109666276,,,0.04194409264038385,0.8606447550683868,0.011127573126194404,0.19869062881009408
ID336660,336660,0,43.96712112426758,21.116223624628965,31.005935804966562,0.0,1.1913035996258259,25,0.75,1,,632.9459459459459,619.0,512.0,848.0,23419.0,90.53235945289457,12177.567567567568,12198.0,9119.0,14393.0,450570.0,1269.9518044341628,,,0.06754095199064637,0.8846580073597756,0.019220441639179228,0.36165838720026267
ID336470,336470,0,23.977048873901367,21.342626963835155,31.276931203774637,0.0,0.6671300157904625,14,0.75,1,,583.2432432432432,569.0,475.0,804.0,21580.0,75.70388416771016,11743.702702702703,11540.0,9119.0,14393.0,434517.0,1300.9247109666276,,,0.04964943012957622,0.7288388985260229,0.011127573126194404,0.19869062881009408
