LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,EXTRACK_P_STUCK,EXTRACK_P_DIFFUSIVE,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Probability stuck,Probability diffusive,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,P stuck,P diffusive,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,,,
ID582536,582536,15,32.27061080932617,4.989336511774566,17.39397156653685,0.0,0.0,0,0.75,1,,653.081081081081,638.0,528.0,868.0,24164.0,82.30849098171882,32717.405405405407,32888.0,29199.0,35825.0,1210544.0,1854.8026019477632,,,0.05147774728527715,0.7769121379065077,0.003702911420322753,0.1301515348058615
ID582538,582538,34,25.355669021606445,12.506580845339588,17.633059890129395,0.0,0.0,0,0.75,1,,613.0,595.0,463.0,816.0,22681.0,76.4009889406617,36992.97297297297,37552.0,29044.0,43873.0,1368740.0,4643.202046998305,,,0.04099344398814533,0.6319138904254614,0.02610219047639166,0.40533862359830586
ID582540,582540,8,67.27586364746094,0.0,19.0603,0.0,0.0,0,0.75,1,,803.7567567567568,788.0,553.0,1112.0,29739.0,133.00551479907503,30068.91891891892,30197.0,25124.0,34437.0,1112550.0,2006.660525715664,,,0.17451580771373443,1.7958120831586124,0.03426220371088315,0.9927926221413368
ID582542,582542,,12.67563533782959,3.3790637609329095,19.329759469029423,0.0,0.0,0,0.75,1,,602.2162162162163,606.0,531.0,688.0,22282.0,36.122580761081295,42039.7027027027,42289.0,34357.0,47812.0,1555469.0,3328.5876790219804,,,0.02205892568451612,0.7196346944864386,0.07625413013235703,1.7896914802452666
ID582543,582543,,26.37334442138672,16.39183518162587,20.242671525840564,0.0,0.0,0,0.75,1,,613.3783783783783,604.0,502.0,815.0,22695.0,72.620150001127,28951.135135135137,27947.0,23479.0,36724.0,1071192.0,3989.543375167432,,,0.03596614548242859,0.5864751978515029,0.007388506500806407,0.1064466673847794
ID582528,582528,33,47.987281799316406,6.512399557070746,13.349934670661755,0.0,0.0,0,0.75,1,,685.2162162162163,679.0,555.0,900.0,25353.0,85.32589001884193,40493.54054054054,40837.0,35397.0,45063.0,1498261.0,2766.718680179692,,,0.0758754581997948,1.13270319832077,0.008092986096938785,0.23499517504190676
ID582529,582529,,29.070283889770508,17.97590520012467,13.53246989957308,0.0,0.0,0,0.75,1,,627.1351351351351,599.0,518.0,848.0,23204.0,78.23545735014774,22374.135135135137,22166.0,18458.0,29220.0,827843.0,2619.7912359804777,,,0.04441300954667313,0.6817504494585469,0.04963211867013125,0.807672452292295
