Distance_(microns),Gray_Value
0.00000,114.932
0.04000,83.481
0.08000,59.066
0.12000,108.330
0.16000,145.704
0.20000,120.851
0.24000,90.389
0.28000,81.261
0.32000,97.363
0.36000,117.358
0.40000,101.544
0.44000,78.860
0.48000,124.198
0.52000,177.671
0.56000,155.950
0.60000,126.176
0.64000,132.234
0.68000,128.603
0.72000,115.168
0.76000,163.519
0.80000,267.487
0.84000,470.171
0.88000,670.413
0.92000,531.032
0.96000,230.592
1.00000,91.172
1.04000,144.702
1.08000,121.874
1.12000,60.337
1.16000,67.109
1.20000,54.592
1.24000,47.857
1.28000,52.357
1.32000,67.642
1.36000,55.966
1.40000,42.935
1.44000,47.042
1.48000,50.337
1.52000,67.771
1.56000,106.049
1.60000,78.020
1.64000,37.451
1.68000,38.078
1.72000,52.938
1.76000,53.303
1.80000,68.335
1.84000,58.759
1.88000,40.873
1.92000,62.760
1.96000,75.944
2.00000,55.237
2.04000,57.328
2.08000,73.587
2.12000,68.574
2.16000,42.613
2.20000,34.669
2.24000,44.953
2.28000,52.967
2.32000,42.738
2.36000,55.791
2.40000,70.245
2.44000,57.931
2.48000,44.243
2.52000,61.949
2.56000,89.068
2.60000,90.021
2.64000,64.256
2.68000,58.487
2.72000,40.458
2.76000,58.509
2.80000,114.738
2.84000,98.754
2.88000,115.920
2.92000,178.782
2.96000,161.315
3.00000,224.176
3.04000,372.949
3.08000,349.076
3.12000,160.696
3.16000,87.194
3.20000,37.078
3.24000,29.927
3.28000,66.522
3.32000,92.560
3.36000,70.299
3.40000,40.428
3.44000,35.670
3.48000,49.022
3.52000,68.819
3.56000,55.592
3.60000,54.649
3.64000,69.617
3.68000,74.124
3.72000,68.546
