Distance_(microns),Gray_Value
0.00000,54.244
0.04000,40.676
0.08000,10.323
0.12000,21.765
0.16000,59.928
0.20000,66.300
0.24000,41.089
0.28000,22.556
0.32000,24.040
0.36000,42.181
0.40000,49.110
0.44000,43.784
0.48000,47.352
0.52000,31.805
0.56000,22.188
0.60000,61.523
0.64000,93.436
0.68000,94.757
0.72000,117.177
0.76000,136.115
0.80000,123.998
0.84000,108.832
0.88000,82.136
0.92000,53.954
0.96000,58.992
1.00000,63.046
1.04000,51.718
1.08000,48.507
1.12000,43.300
1.16000,28.868
1.20000,35.689
1.24000,49.692
1.28000,45.373
1.32000,31.591
1.36000,23.179
1.40000,29.425
1.44000,43.452
1.48000,43.483
1.52000,36.053
1.56000,40.469
1.60000,47.087
1.64000,46.124
1.68000,46.190
1.72000,47.653
1.76000,40.118
1.80000,28.475
1.84000,30.066
1.88000,43.839
1.92000,48.927
1.96000,43.223
2.00000,39.112
2.04000,30.906
2.08000,29.404
2.12000,41.919
2.16000,40.495
2.20000,21.710
2.24000,24.825
2.28000,38.445
2.32000,35.511
2.36000,35.459
2.40000,39.050
2.44000,32.259
2.48000,34.254
2.52000,47.096
2.56000,41.073
2.60000,30.006
2.64000,43.733
2.68000,53.226
2.72000,55.175
2.76000,90.920
2.80000,111.475
2.84000,83.243
2.88000,100.089
2.92000,186.742
2.96000,190.901
3.00000,106.508
3.04000,48.505
3.08000,54.602
3.12000,80.815
3.16000,73.836
3.20000,36.302
3.24000,27.173
3.28000,41.605
3.32000,37.193
3.36000,30.392
3.40000,32.970
3.44000,30.743
3.48000,33.368
3.52000,41.229
3.56000,42.211
3.60000,38.738
3.64000,31.894
3.68000,31.381
3.72000,46.097
