Distance_(microns),Gray_Value
0.00000,28.091
0.04000,49.998
0.08000,45.484
0.12000,47.782
0.16000,62.394
0.20000,38.032
0.24000,22.354
0.28000,47.267
0.32000,50.911
0.36000,37.049
0.40000,51.440
0.44000,48.990
0.48000,38.311
0.52000,56.848
0.56000,57.067
0.60000,61.096
0.64000,118.264
0.68000,226.828
0.72000,262.532
0.76000,204.944
0.80000,113.613
0.84000,49.962
0.88000,47.939
0.92000,56.408
0.96000,46.721
1.00000,34.973
1.04000,36.074
1.08000,33.913
1.12000,23.144
1.16000,27.365
1.20000,38.823
1.24000,35.089
1.28000,25.550
1.32000,35.586
1.36000,29.639
1.40000,18.121
1.44000,24.566
1.48000,49.007
1.52000,49.669
1.56000,29.164
1.60000,18.533
1.64000,28.193
1.68000,39.590
1.72000,35.732
1.76000,27.435
1.80000,30.037
1.84000,39.756
1.88000,35.356
1.92000,31.226
1.96000,32.443
2.00000,33.565
2.04000,34.752
2.08000,39.347
2.12000,35.000
2.16000,34.404
2.20000,43.470
2.24000,44.045
2.28000,39.537
2.32000,45.323
2.36000,49.740
2.40000,44.903
2.44000,37.429
2.48000,43.267
2.52000,55.914
2.56000,57.055
2.60000,55.946
2.64000,54.021
2.68000,48.365
2.72000,69.682
2.76000,89.708
2.80000,76.066
2.84000,88.681
2.88000,173.235
2.92000,200.699
2.96000,149.720
3.00000,114.555
3.04000,128.876
3.08000,113.002
3.12000,87.288
3.16000,43.440
3.20000,29.022
3.24000,43.753
3.28000,44.628
3.32000,36.842
3.36000,39.642
3.40000,33.376
3.44000,36.749
3.48000,48.920
3.52000,41.847
3.56000,36.476
3.60000,41.643
3.64000,29.077
3.68000,23.650
3.72000,44.639
