,0
0,5101.683934748855
1,3580.4972240163142
2,4831.888565823823
3,3151.42548737415
4,4627.978673355164
5,4074.25622694083
6,4998.255836961905
7,4194.929210829778
8,3770.4156365648178
9,3211.3615396411037
10,4442.994454882374
11,6189.487809812628
12,4283.338299216758
13,4283.051553795344
14,5490.917023431706
15,4901.692986155776
16,3795.773037253524
17,4261.666414690976
18,5319.481651776269
19,3078.037008697325
20,5656.2878607050725
21,4749.997242989089
22,6869.450795716873
23,3983.4222100131633
24,4390.51023073769
25,4121.711338379875
26,4314.437138984962
27,3940.858605514317
28,3812.0532600795873
29,4343.475503151315
30,4647.926478136963
31,4119.452135131815
32,4574.5769289711625
33,3639.179294412912
34,4474.656593727806
35,3813.5026520530982
36,5269.775494075069
37,3860.2788879925597
38,3690.3018570927043
39,4936.803978457195
40,3936.383357124371
41,4218.271991491972
42,5208.540573920729
43,3900.3000223367103
44,5114.181511786046
45,4967.036247947852
46,4215.153082327583
47,5516.174575338963
48,4618.574568124621
49,5134.842679831621
50,5871.624361785964
51,3837.7877845142475
52,5785.3510981399195
53,4424.710269791781
54,3344.931072191012
55,3882.1467894574866
56,5075.0751696384605
57,4774.273924131493
58,4726.779510393956
59,4208.020161776851
60,5396.7488796257985
61,4254.477957369598
62,3674.3050497285635
63,3841.227199108236
