,index,label,x,y,length,frame,r,score,intensity,background,area,perimeter,diameter(nm),length(um),final_intensity,cells,nor_intensity,nor_length
9,0,44,442.2121212121212,494.1818181818182,8.592795471840251,0,3.2,0.7073170731707317,12178.2666015625,1651.9984937608242,32.169908772759484,20.10619298297468,256.0,804.247719318987,10526.268107801676,1,0.38824642295255335,0.64
61,0,197,588.4857142857143,627.3714285714286,7.05204003954402,3,3.2,0.7560975609756098,10531.07421875,2288.3634726465025,32.169908772759484,20.10619298297468,256.0,804.247719318987,8242.710746103498,1,0.30402065858795524,0.64
60,0,195,588.4285714285714,489.1428571428572,6.97224138816518,3,3.2,0.8461538461538461,13266.818359375,2194.529279829003,32.169908772759484,20.10619298297468,256.0,804.247719318987,11072.289079545995,1,0.40838562964629976,0.64
59,0,194,587.7741935483871,642.0967741935484,6.545257505672288,3,3.2,0.7435897435897436,13196.8046875,3175.3311562458985,32.169908772759484,20.10619298297468,256.0,804.247719318987,10021.473531254102,1,0.36962779319095834,0.64
54,0,176,572.7333333333333,624.4666666666667,8.045251103595454,3,4.0,0.7407407407407407,17784.541015625,2917.944153852761,50.26548245743669,25.132741228718345,320.0,1005.309649148734,14866.59686177224,1,0.548333273858264,0.8
51,0,171,569.2444444444444,532.4444444444445,7.990991987175276,3,4.0,0.8431372549019608,17663.84765625,2422.670164837968,50.26548245743669,25.132741228718345,320.0,1005.309649148734,15241.177491412032,1,0.5621491474495113,0.8
49,0,169,569.0967741935484,585.1451612903226,11.490451053157877,3,4.5,0.7236842105263158,22759.728515625,4271.715495668817,63.61725123519331,28.274333882308134,360.0,1130.9733552923256,18488.013019956183,1,0.6819040564982595,0.9
48,0,168,565.3333333333334,594.25,9.031566957770616,3,3.7,0.8235294117647058,16102.1640625,4403.597497024457,43.00840342764428,23.24778563656447,296.00000000000006,929.9114254625788,11698.566565475545,1,0.4314849836811502,0.74
45,0,154,552.8695652173913,571.1884057971015,10.933984061644525,3,5.0,0.7441860465116279,27460.01953125,5124.357446542941,78.53981633974483,31.41592653589793,400.0,1256.6370614359173,22335.66208470706,1,0.8238191180250592,1.0
44,0,152,548.6896551724138,468.0,6.809576403979684,3,3.0,0.7575757575757576,10195.7548828125,1676.4758402040752,28.274333882308134,18.84955592153876,240.0,753.9822368615504,8519.279042608425,1,0.31422148671815797,0.6
42,0,149,546.0769230769231,583.1153846153846,7.204442051573389,3,3.0,0.7741935483870968,10000.2666015625,3551.795703546464,28.274333882308134,18.84955592153876,240.0,753.9822368615504,6448.470898016036,1,0.23784267453845243,0.6
41,0,146,544.1034482758621,482.1724137931034,7.10353671291595,3,3.0,0.8125,10702.5087890625,1894.134093530476,28.274333882308134,18.84955592153876,240.0,753.9822368615504,8808.374695532024,1,0.32488436856661973,0.6
63,0,208,599.7575757575758,511.4242424242424,7.768738206081425,3,3.7,0.7333333333333333,12020.810546875,3602.889203875093,43.00840342764428,23.24778563656447,296.00000000000006,929.9114254625788,8417.921342999907,1,0.31048305217433897,0.74
39,0,141,538.2647058823529,508.2647058823529,7.189866409083199,3,3.2,0.868421052631579,13102.62890625,2504.101141181309,32.169908772759484,20.10619298297468,256.0,804.247719318987,10598.527765068691,1,0.3909116176037235,0.64
30,0,121,518.4146341463414,610.6829268292682,8.434797903285938,3,3.7,0.72,16519.30078125,2622.2365087643266,43.00840342764428,23.24778563656447,296.00000000000006,929.9114254625788,13897.064272485672,1,0.5125734437008457,0.74
28,0,119,514.6333333333333,493.6333333333333,6.491019437140312,3,3.2,0.717948717948718,11801.7314453125,2249.431824520696,32.169908772759484,20.10619298297468,256.0,804.247719318987,9552.299620791804,1,0.3523229810187658,0.64
27,0,118,514.6521739130435,516.7826086956521,8.773195753788269,3,3.2,0.7291666666666666,15390.1875,2244.7886147138224,32.169908772759484,20.10619298297468,256.0,804.247719318987,13145.398885286177,1,0.484849335322763,0.64
26,0,117,515.7575757575758,455.8636363636364,10.373141950760298,3,5.0,0.7093023255813954,27714.19921875,4205.169182003941,78.53981633974483,31.41592653589793,400.0,1256.6370614359173,23509.03003674606,1,0.8670971255316954,1.0
25,0,115,513.4878048780488,588.0487804878048,8.750693651869158,3,3.7,0.7551020408163265,15973.220703125,4978.630923880264,43.00840342764428,23.24778563656447,296.00000000000006,929.9114254625788,10994.589779244736,1,0.4055198015010408,0.74
23,0,103,499.6578947368421,403.3684210526316,8.650477085433504,3,3.2,0.7045454545454546,11980.5810546875,1970.671140928287,32.169908772759484,20.10619298297468,256.0,804.247719318987,10009.909913759211,1,0.3692012856117475,0.64
22,0,102,497.92105263157896,586.0263157894736,7.426095964270623,3,3.7,0.7291666666666666,15947.1494140625,3163.1514718793915,43.00840342764428,23.24778563656447,296.00000000000006,929.9114254625788,12783.997942183109,1,0.47151957571807923,0.74
21,0,93,494.0,439.6896551724138,6.442475759980364,3,3.2,0.7368421052631579,12576.208984375,1827.315471495036,32.169908772759484,20.10619298297468,256.0,804.247719318987,10748.893512879964,1,0.3964576442795066,0.64
15,0,80,482.73333333333335,632.0666666666667,8.796725256776073,3,3.2,0.782608695652174,13472.2509765625,2597.4173595914617,32.169908772759484,20.10619298297468,256.0,804.247719318987,10874.833616971038,1,0.401102765838152,0.64
12,0,63,464.6521739130435,580.5869565217391,8.606415764323968,3,4.2,0.7166666666666667,18348.353515625,5048.279307116289,55.41769440932395,26.389378290154266,336.0,1055.5751316061703,13300.074208508711,1,0.4905543145561601,0.8400000000000001
8,0,50,451.0,435.6666666666667,6.8300011451295335,3,2.9000000000000004,0.7333333333333333,8783.580078125,1362.7443108940497,26.420794216690165,18.221237390820804,232.00000000000003,728.8494956328321,7420.83576723095,1,0.2737069693114134,0.5800000000000001
31,0,130,531.1060606060606,465.3333333333333,10.29931027198862,3,4.5,0.8243243243243243,25385.18359375,3236.17721225624,63.61725123519331,28.274333882308134,360.0,1130.9733552923256,22149.00638149376,1,0.816934587975654,0.9
59,0,183,602.4857142857143,534.4285714285714,7.257684514582045,2,3.2,0.7560975609756098,10901.68359375,2033.830102469772,32.169908772759484,20.10619298297468,256.0,804.247719318987,8867.853491280228,1,0.32707815932458556,0.64
64,0,209,601.1764705882352,534.2352941176471,7.5424727793328765,3,3.2,0.8205128205128205,11040.6484375,2279.307097736746,32.169908772759484,20.10619298297468,256.0,804.247719318987,8761.341339763254,1,0.3231496101555979,0.64
7,0,41,422.5925925925926,584.2592592592592,6.6539980035912905,4,2.9000000000000004,0.7333333333333333,8412.1953125,1576.9789698300883,26.420794216690165,18.221237390820804,232.00000000000003,728.8494956328321,6835.216342669912,1,0.2521072300240546,0.5800000000000001
