Distance_(microns),Gray_Value
0.00000,188.384
0.04000,206.960
0.08000,211.036
0.12000,190.409
0.16000,169.452
0.20000,168.862
0.24000,175.433
0.28000,182.392
0.32000,206.787
0.36000,237.228
0.40000,227.900
0.44000,174.998
0.48000,138.928
0.52000,162.975
0.56000,216.558
0.60000,237.858
0.64000,204.568
0.68000,156.990
0.72000,158.032
0.76000,217.221
0.80000,265.944
0.84000,242.599
0.88000,178.452
0.92000,145.498
0.96000,150.128
1.00000,147.470
1.04000,129.810
1.08000,125.264
1.12000,135.849
1.16000,143.792
1.20000,149.638
1.24000,153.250
1.28000,138.205
1.32000,113.021
1.36000,115.026
1.40000,145.155
1.44000,158.508
1.48000,138.219
1.52000,116.655
1.56000,114.078
1.60000,117.777
1.64000,123.595
1.68000,139.830
1.72000,153.526
1.76000,144.505
1.80000,124.347
1.84000,118.289
1.88000,124.265
1.92000,127.708
1.96000,133.911
2.00000,149.080
2.04000,155.563
2.08000,141.101
2.12000,125.781
2.16000,129.025
2.20000,137.997
2.24000,135.590
2.28000,131.163
2.32000,138.808
2.36000,148.914
2.40000,143.028
2.44000,123.190
2.48000,110.420
2.52000,116.849
2.56000,130.719
2.60000,136.862
2.64000,140.151
2.68000,147.447
2.72000,142.230
2.76000,115.619
2.80000,105.620
2.84000,151.475
2.88000,220.814
2.92000,241.589
2.96000,200.632
3.00000,156.412
3.04000,157.155
3.08000,190.149
3.12000,211.071
3.16000,195.426
3.20000,162.927
3.24000,159.106
3.28000,200.163
3.32000,240.719
3.36000,224.625
3.40000,163.965
3.44000,129.691
3.48000,159.482
3.52000,212.262
3.56000,225.015
3.60000,184.691
3.64000,132.795
3.68000,120.153
3.72000,162.249
