Distance_(microns),Gray_Value
0.00000,182.762
0.04000,178.630
0.08000,174.640
0.12000,188.718
0.16000,212.803
0.20000,226.911
0.24000,213.532
0.28000,173.220
0.32000,145.263
0.36000,175.355
0.40000,241.029
0.44000,262.505
0.48000,214.650
0.52000,167.374
0.56000,181.997
0.60000,227.166
0.64000,236.104
0.68000,201.059
0.72000,174.239
0.76000,198.084
0.80000,252.873
0.84000,269.586
0.88000,207.735
0.92000,120.377
0.96000,99.576
1.00000,151.717
1.04000,191.060
1.08000,170.635
1.12000,137.882
1.16000,135.103
1.20000,135.706
1.24000,117.569
1.28000,111.241
1.32000,131.812
1.36000,143.508
1.40000,130.638
1.44000,126.725
1.48000,141.799
1.52000,139.685
1.56000,115.365
1.60000,113.115
1.64000,140.850
1.68000,150.703
1.72000,130.284
1.76000,124.490
1.80000,142.129
1.84000,136.640
1.88000,105.362
1.92000,106.458
1.96000,148.659
2.00000,166.279
2.04000,133.312
2.08000,105.356
2.12000,120.458
2.16000,145.547
2.20000,146.150
2.24000,136.989
2.28000,141.193
2.32000,151.255
2.36000,149.281
2.40000,136.132
2.44000,125.537
2.48000,121.429
2.52000,115.815
2.56000,109.253
2.60000,114.809
2.64000,134.323
2.68000,152.816
2.72000,160.991
2.76000,157.621
2.80000,138.829
2.84000,118.604
2.88000,135.294
2.92000,195.789
2.96000,246.567
3.00000,240.631
3.04000,195.908
3.08000,159.240
3.12000,152.953
3.16000,170.223
3.20000,186.908
3.24000,181.055
3.28000,163.443
3.32000,164.582
3.36000,182.328
3.40000,185.080
3.44000,167.870
3.48000,156.700
3.52000,162.696
3.56000,174.003
3.60000,181.470
3.64000,183.809
3.68000,182.080
3.72000,180.574
