Distance_(microns),Gray_Value
0.00000,37.484
0.04000,66.378
0.08000,68.133
0.12000,40.050
0.16000,44.679
0.20000,65.407
0.24000,55.060
0.28000,51.905
0.32000,62.099
0.36000,60.074
0.40000,52.850
0.44000,47.279
0.48000,38.884
0.52000,37.487
0.56000,39.284
0.60000,66.064
0.64000,117.888
0.68000,119.108
0.72000,112.102
0.76000,194.124
0.80000,239.758
0.84000,154.981
0.88000,84.085
0.92000,90.451
0.96000,86.093
1.00000,66.518
1.04000,65.242
1.08000,57.568
1.12000,38.180
1.16000,36.058
1.20000,50.126
1.24000,63.015
1.28000,56.973
1.32000,41.585
1.36000,37.591
1.40000,48.532
1.44000,46.868
1.48000,40.572
1.52000,41.907
1.56000,34.926
1.60000,28.923
1.64000,41.985
1.68000,47.240
1.72000,40.339
1.76000,42.531
1.80000,36.601
1.84000,24.406
1.88000,35.298
1.92000,45.058
1.96000,41.006
2.00000,42.452
2.04000,38.719
2.08000,35.664
2.12000,44.414
2.16000,44.813
2.20000,39.702
2.24000,45.312
2.28000,41.524
2.32000,31.936
2.36000,42.283
2.40000,55.061
2.44000,45.930
2.48000,35.882
2.52000,31.807
2.56000,43.501
2.60000,49.870
2.64000,40.920
2.68000,28.007
2.72000,38.265
2.76000,60.043
2.80000,75.056
2.84000,69.995
2.88000,71.301
2.92000,158.353
2.96000,235.868
3.00000,191.678
3.04000,79.386
3.08000,26.838
3.12000,48.043
3.16000,84.790
3.20000,96.771
3.24000,73.095
3.28000,55.555
3.32000,54.099
3.36000,54.712
3.40000,36.763
3.44000,30.751
3.48000,45.934
3.52000,61.352
3.56000,53.107
3.60000,36.830
3.64000,35.423
3.68000,43.791
3.72000,50.418
