Distance_(microns),Gray_Value
0.00000,35.337
0.04000,55.588
0.08000,46.874
0.12000,28.990
0.16000,29.488
0.20000,38.078
0.24000,41.530
0.28000,37.712
0.32000,32.497
0.36000,36.329
0.40000,33.384
0.44000,26.123
0.48000,44.162
0.52000,59.994
0.56000,42.868
0.60000,21.148
0.64000,14.068
0.68000,33.176
0.72000,100.256
0.76000,163.772
0.80000,177.421
0.84000,151.258
0.88000,95.120
0.92000,55.513
0.96000,71.752
1.00000,82.363
1.04000,63.738
1.08000,37.804
1.12000,19.090
1.16000,19.559
1.20000,42.089
1.24000,47.434
1.28000,41.364
1.32000,37.500
1.36000,27.212
1.40000,22.192
1.44000,30.771
1.48000,38.812
1.52000,34.615
1.56000,26.169
1.60000,31.506
1.64000,41.227
1.68000,39.105
1.72000,38.946
1.76000,38.519
1.80000,32.228
1.84000,34.692
1.88000,43.840
1.92000,37.554
1.96000,26.006
2.00000,31.770
2.04000,39.113
2.08000,40.192
2.12000,34.891
2.16000,30.203
2.20000,41.092
2.24000,49.516
2.28000,34.470
2.32000,27.437
2.36000,36.241
2.40000,37.003
2.44000,44.927
2.48000,57.539
2.52000,44.034
2.56000,36.293
2.60000,40.898
2.64000,25.135
2.68000,17.233
2.72000,48.824
2.76000,76.092
2.80000,95.684
2.84000,87.735
2.88000,64.099
2.92000,94.991
2.96000,241.831
3.00000,311.108
3.04000,212.996
3.08000,82.907
3.12000,50.335
3.16000,38.960
3.20000,42.367
3.24000,64.055
3.28000,84.229
3.32000,60.526
3.36000,44.470
3.40000,74.556
3.44000,79.155
3.48000,78.290
3.52000,131.683
3.56000,142.287
3.60000,93.249
3.64000,95.096
3.68000,131.501
3.72000,126.478
