Distance_(microns),Gray_Value
0.00000,67.989
0.04000,63.419
0.08000,54.036
0.12000,47.183
0.16000,55.254
0.20000,68.986
0.24000,53.058
0.28000,39.642
0.32000,50.413
0.36000,43.291
0.40000,30.372
0.44000,57.249
0.48000,80.934
0.52000,61.149
0.56000,44.264
0.60000,56.633
0.64000,97.370
0.68000,153.435
0.72000,224.878
0.76000,278.423
0.80000,254.419
0.84000,175.532
0.88000,125.770
0.92000,112.956
0.96000,76.987
1.00000,38.817
1.04000,25.351
1.08000,36.711
1.12000,45.902
1.16000,39.082
1.20000,44.079
1.24000,53.430
1.28000,40.917
1.32000,30.316
1.36000,29.175
1.40000,29.736
1.44000,46.149
1.48000,45.532
1.52000,23.137
1.56000,29.675
1.60000,50.806
1.64000,54.963
1.68000,47.718
1.72000,42.488
1.76000,38.919
1.80000,39.694
1.84000,33.541
1.88000,32.016
1.92000,40.387
1.96000,41.285
2.00000,32.187
2.04000,36.692
2.08000,43.457
2.12000,52.467
2.16000,51.787
2.20000,35.024
2.24000,30.322
2.28000,41.308
2.32000,41.240
2.36000,38.895
2.40000,50.768
2.44000,52.781
2.48000,33.865
2.52000,29.816
2.56000,36.961
2.60000,45.436
2.64000,59.613
2.68000,61.758
2.72000,33.419
2.76000,16.587
2.80000,50.327
2.84000,102.458
2.88000,115.673
2.92000,133.688
2.96000,172.809
3.00000,201.205
3.04000,227.035
3.08000,222.005
3.12000,127.176
3.16000,41.511
3.20000,68.328
3.24000,92.203
3.28000,63.880
3.32000,48.710
3.36000,56.069
3.40000,57.496
3.44000,53.312
3.48000,50.065
3.52000,36.809
3.56000,49.106
3.60000,55.849
3.64000,46.686
3.68000,45.757
3.72000,48.724
