1.0	1059.8
2.0	1019.8
3.0	1017.8
4.0	277.1
5.0	277.9
6.0	286.3
7.0	283.3
8.0	323.0
9.0	337.7
10.0	319.4
11.0	334.5
12.0	384.3
13.0	359.3
14.0	390.0
15.0	474.5
16.0	442.2
17.0	442.1
18.0	497.5
19.0	519.1
20.0	476.5
21.0	523.1
22.0	568.5
23.0	585.8
24.0	600.1
25.0	537.2
26.0	506.0
27.0	576.2
28.0	574.8
29.0	592.1
30.0	584.6
31.0	583.8
32.0	565.3
33.0	572.2
34.0	557.5
35.0	501.0
36.0	524.2
37.0	615.5
38.0	584.5
39.0	587.0
40.0	624.7
41.0	645.6
42.0	691.3
43.0	645.2
44.0	745.6
45.0	672.9
46.0	654.7
47.0	594.1
48.0	638.1
49.0	671.2
50.0	715.4
51.0	673.1
52.0	676.0
53.0	625.6
54.0	675.9
55.0	627.7
56.0	644.1
57.0	694.0
58.0	761.5
59.0	714.0
60.0	726.3
61.0	719.0
62.0	648.1
63.0	669.1
64.0	635.5
65.0	642.3
66.0	688.8
67.0	605.5
68.0	642.9
69.0	678.9
70.0	682.9
71.0	701.0
72.0	749.1
73.0	633.0
74.0	650.5
75.0	679.9
76.0	644.2
77.0	580.7
78.0	637.7
79.0	614.0
80.0	618.1
81.0	597.7
82.0	659.5
83.0	659.9
84.0	698.1
85.0	679.0
86.0	649.1
87.0	658.7
88.0	628.0
89.0	646.2
90.0	649.1
91.0	576.8
92.0	612.3
93.0	602.9
94.0	622.2
95.0	613.9
96.0	618.3
97.0	604.1
98.0	667.5
99.0	599.1
100.0	659.4
