,name,lamellipodia_length,actin_intensity
49,250331_Sra1-eGFP_2_glu_647_phalloidin_046_SIR_ALX.tif,116.70998283837464,8111235.208831787
50,250331_Sra1-eGFP_2_glu_647_phalloidin_047_SIR_ALX.tif,89.24416708274546,1513896.9857940674
51,250331_Sra1-eGFP_2_glu_647_phalloidin_048_SIR_ALX.tif,223.2492577986811,12997801.448242188
52,250331_Sra1-eGFP_2_glu_647_phalloidin_049_SIR_ALX.tif,358.4719140058115,29799972.552886963
53,250331_Sra1-eGFP_2_glu_647_phalloidin_050_SIR_ALX.tif,209.8219383689593,19166537.60055542
54,250331_Sra1-eGFP_2_glu_647_phalloidin_051_SIR_ALX.tif,414.08209892381205,10098760.91418457
55,250331_Sra1-eGFP_2_glu_647_phalloidin_052_SIR_ALX.tif,677.7365080511308,70834960.52124023
56,250331_Sra1-eGFP_2_glu_647_phalloidin_053_SIR_ALX.tif,146.62727785921064,25933760.33642578
57,250331_Sra1-eGFP_2_glu_647_phalloidin_054_SIR_ALX.tif,362.1096646575231,18345618.263793945
58,250331_Sra1-eGFP_2_glu_647_phalloidin_055_SIR_ALX.tif,286.8284432487199,32735123.10205078
59,250331_Sra1-eGFP_2_glu_647_phalloidin_056_SIR_ALX.tif,404.8315422302545,46134774.99554443
60,250331_Sra1-eGFP_2_glu_647_phalloidin_057_SIR_ALX.tif,336.4446830248165,23977555.68774414
61,250331_Sra1-eGFP_2_glu_647_phalloidin_058_SIR_ALX.tif,94.0321067150953,2668440.2946777344
62,250331_Sra1-eGFP_2_glu_647_phalloidin_059_SIR_ALX.tif,234.22509796319602,44334794.50689697
63,250331_Sra1-eGFP_2_glu_647_phalloidin_060_SIR_ALX.tif,562.1848883348031,34727922.68988037
64,250331_Sra1-eGFP_2_glu_647_phalloidin_061_SIR_ALX.tif,231.59122328936877,11427442.045593262
65,250331_Sra1-eGFP_2_glu_647_phalloidin_062_SIR_ALX.tif,424.6652400066283,28518549.908447266
66,250331_Sra1-eGFP_2_glu_647_phalloidin_063_SIR_ALX.tif,377.2030651890543,16774527.831420898
