,intensity,area,perimeter,label,frame,threshold,background,final_intensity,cells
6,145692.84375,1229.0,459.2391074789332,1.0,2.0,75.62773132324219,34715.67051124573,110977.17323875427,2
7,109175.421875,937.0,367.4958187434737,2.0,2.0,75.62773132324219,26467.52096748352,82707.90090751648,2
8,69426.4609375,551.0,269.86683208370965,0.0,3.0,75.62773132324219,15256.310649871826,54170.150287628174,2
9,139860.40625,1157.0,451.1945562949297,1.0,3.0,75.62773132324219,32035.48352432251,107824.92272567749,2
10,70974.953125,590.0,245.8910515160939,2.0,3.0,75.62773132324219,16336.158409118652,54638.79471588135,2
0,170542.0625,1448.0,374.4228775124731,0.0,0.0,78.2129135131836,40863.533935546875,129678.52856445312,3
1,99745.1953125,847.0,236.92634914757983,1.0,0.0,78.2129135131836,23902.909698486328,75842.28561401367,3
2,35836.046875,303.0,118.82796539103074,3.0,0.0,78.2129135131836,8550.863800048828,27285.183074951172,3
3,203296.8125,1697.0,432.41716518512396,0.0,1.0,78.2129135131836,45893.83090019226,157402.98159980774,3
4,58729.3203125,488.0,130.43471657478062,1.0,1.0,78.2129135131836,13197.518844604492,45531.80146789551,3
5,312918.5,2582.0,697.634196497829,0.0,2.0,78.2129135131836,67892.69046783447,245025.80953216553,3
6,220162.625,1825.0,548.0082531475504,0.0,3.0,78.2129135131836,47366.41983985901,172796.205160141,3
7,132564.703125,1075.0,318.8473725393949,1.0,3.0,78.2129135131836,27900.767850875854,104663.93527412415,3
8,358580.65625,2932.0,823.0543214843644,0.0,4.0,78.2129135131836,75841.83878326416,282738.81746673584,3
0,146770.75,1105.0,233.8636929861874,1.0,0.0,84.15417861938477,34969.50644493103,111801.24355506897,4
1,269624.34375,2038.0,503.2473295143602,2.0,0.0,84.15417861938477,64495.795597076416,205128.54815292358,4
2,336868.65625,2670.0,700.1646122552332,1.0,1.0,84.15417861938477,82884.7265625,253983.9296875,4
3,62794.6953125,490.0,131.45015253430574,2.0,2.0,84.15417861938477,14947.468280792236,47847.227031707764,4
4,227136.921875,1770.0,474.84501429140323,3.0,2.0,84.15417861938477,53993.916034698486,173143.0058403015,4
5,50260.890625,376.0,138.99515987995522,0.0,3.0,84.15417861938477,11240.07194519043,39020.81867980957,4
6,176686.3125,1341.0,393.8277938012817,1.0,3.0,84.15417861938477,40087.59701728821,136598.7154827118,4
7,142589.390625,1099.0,362.74396151699034,0.0,4.0,84.15417861938477,32462.262117385864,110127.12850761414,4
0,357412.59375,2426.0,576.5453213916205,1.0,0.0,89.95877456665039,78917.32357025146,278495.27017974854,5
1,134675.703125,933.0,279.52164784060665,2.0,0.0,89.95877456665039,30350.31446456909,104325.38866043091,5
2,284708.25,1956.0,567.0647269019353,1.0,1.0,89.95877456665039,61136.8228225708,223571.4271774292,5
3,47623.3984375,322.0,113.10014045112095,1.0,2.0,89.95877456665039,9837.29751586914,37786.10092163086,5
4,102840.484375,697.0,228.76339322528042,2.0,2.0,89.95877456665039,21293.777542114258,81546.70683288574,5
5,80671.703125,553.0,211.37300057270488,3.0,2.0,89.95877456665039,16894.489212036133,63777.21391296387,5
6,207788.125,1534.0,401.2611680890995,4.0,2.0,89.95877456665039,46864.64096069336,160923.48403930664,5
7,79999.34375,547.0,193.9431396740307,2.0,3.0,89.95877456665039,16395.66374397278,63603.68000602722,5
8,50536.73828125,336.0,154.39414885957922,3.0,3.0,89.95877456665039,10071.193817138672,40465.54446411133,5
9,70204.34375,508.0,185.8822402072101,4.0,3.0,89.95877456665039,15226.685890197754,54977.657859802246,5
10,136585.53125,961.0,264.6780192282525,5.0,3.0,89.95877456665039,28804.8132686615,107780.7179813385,5
11,78547.609375,515.0,199.1714207755865,0.0,4.0,89.95877456665039,15147.855167388916,63399.754207611084,5
12,75976.90625,527.0,185.27106331102448,1.0,4.0,89.95877456665039,15500.81489944458,60476.09135055542,5
13,133634.9375,966.0,287.4709142495957,2.0,4.0,89.95877456665039,28413.258430480957,105221.67906951904,5
