,intensity,area,perimeter,label,frame,threshold,background,final_intensity,cells
0,46082.296875,404.0,156.29026775751623,1.0,0.0,64.2616081237793,6419.2126121521,39663.0842628479,1
1,57220.078125,546.0,219.86127906614652,2.0,0.0,64.2616081237793,8675.470510482788,48544.60761451721,1
2,48398.3671875,430.0,152.67225122885398,3.0,0.0,64.2616081237793,6832.330255508423,41566.03693199158,1
3,105459.3515625,943.0,358.6264011499741,4.0,0.0,64.2616081237793,14983.459141731262,90475.89242076874,1
4,115569.921875,1069.0,372.48729036843747,0.0,1.0,64.2616081237793,16209.751755714417,99360.17011928558,1
5,109053.1328125,983.0,418.9210667839013,1.0,1.0,64.2616081237793,14905.693148612976,94147.43966388702,1
6,90804.875,813.0,271.43762841050454,2.0,1.0,64.2616081237793,12327.902878761292,78476.97212123871,1
7,41018.578125,391.0,190.22983837035395,3.0,1.0,64.2616081237793,5928.9176206588745,35089.660504341125,1
8,99252.6015625,923.0,362.49757543804554,4.0,1.0,64.2616081237793,13995.884818077087,85256.71674442291,1
9,115032.609375,1045.0,406.0688418444987,5.0,1.0,64.2616081237793,15845.828423500061,99186.78095149994,1
10,86079.890625,779.0,359.2144580828782,8.0,1.0,64.2616081237793,11812.344824790955,74267.54580020905,1
11,259039.359375,2327.0,850.759751638474,0.0,2.0,64.2616081237793,34309.27791595459,224730.0814590454,1
12,40971.5390625,368.0,156.6945268208557,1.0,2.0,64.2616081237793,5425.7904052734375,35545.74865722656,1
13,217319.796875,2012.0,819.6105262229139,2.0,2.0,64.2616081237793,29664.91928100586,187654.87759399414,1
14,77958.125,702.0,338.64300453061423,5.0,2.0,64.2616081237793,10350.284957885742,67607.84004211426,1
15,270827.78125,2540.0,1015.4593613972345,0.0,3.0,64.2616081237793,37799.688873291016,233028.09237670898,1
16,38277.82421875,329.0,161.92280792241155,1.0,3.0,64.2616081237793,4896.101432800293,33381.72278594971,1
17,40715.078125,387.0,155.35376829018847,2.0,3.0,64.2616081237793,5759.243934631348,34955.83419036865,1
18,101102.3203125,941.0,401.72124368135485,3.0,3.0,64.2616081237793,14003.743003845215,87098.57730865479,1
19,54378.625,497.0,285.7817131845047,6.0,3.0,64.2616081237793,7396.238334655762,46982.38666534424,1
20,32834.23828125,307.0,135.02870081686928,0.0,4.0,64.2616081237793,4535.631812095642,28298.606469154358,1
21,38199.96484375,362.0,158.47224098049674,1.0,4.0,64.2616081237793,5348.204286575317,32851.76055717468,1
22,64206.3984375,575.0,217.6167176337858,2.0,4.0,64.2616081237793,8495.075869560242,55711.32256793976,1
23,52661.6171875,487.0,209.7858559630928,3.0,4.0,64.2616081237793,7194.959910392761,45466.65727710724,1
24,149121.84375,1414.0,652.5547219739611,4.0,4.0,64.2616081237793,20890.499616622925,128231.34413337708,1
0,43461.64453125,415.0,159.14600608606258,0.0,0.0,58.57577133178711,4305.914311408997,39155.730219841,2
1,55822.79296875,558.0,190.84101526653956,1.0,0.0,58.57577133178711,5789.6390018463135,50033.15396690369,2
2,105691.40625,948.0,296.2613953508979,2.0,0.0,58.57577133178711,9836.160884857178,95855.24536514282,2
3,52830.203125,549.0,209.17467906690723,0.0,1.0,58.57577133178711,5306.550953865051,47523.65217113495,2
4,68905.3125,661.0,201.8924060830197,2.0,1.0,58.57577133178711,6389.12601184845,62516.18648815155,2
5,107890.4609375,1031.0,368.2580969435896,3.0,1.0,58.57577133178711,9965.490042686462,97924.97089481354,2
6,89406.3125,867.0,296.4750848642084,0.0,2.0,58.57577133178711,8009.846989631653,81396.46551036835,2
7,76979.03125,710.0,215.95063653197641,1.0,2.0,58.57577133178711,6559.390268325806,70419.6409816742,2
8,101052.15625,937.0,328.40013184081306,2.0,2.0,58.57577133178711,8656.547438621521,92395.60881137848,2
9,103143.65625,1028.0,402.22078751970884,0.0,3.0,58.57577133178711,9209.530059814453,93934.12619018555,2
10,54517.203125,485.0,165.84979873939878,1.0,3.0,58.57577133178711,4344.963111877441,50172.24001312256,2
11,67900.140625,598.0,189.730294532,2.0,3.0,58.57577133178711,5357.294723510742,62542.84590148926,2
12,107009.9453125,973.0,343.0137226570396,4.0,3.0,58.57577133178711,8716.802284240723,98293.14302825928,2
13,46279.2578125,473.0,214.44242841456173,0.0,4.0,58.57577133178711,4222.79400062561,42056.46381187439,2
14,69436.71875,660.0,230.7221003325976,1.0,4.0,58.57577133178711,5892.270698547363,63544.44805145264,2
15,63310.40625,584.0,186.16809453225358,2.0,4.0,58.57577133178711,5213.766799926758,58096.63945007324,2
16,87806.3515625,858.0,298.9034441661337,3.0,4.0,58.57577133178711,7659.951908111572,80146.39965438843,2
0,75447.515625,482.0,167.2858420450805,0.0,0.0,90.57941055297852,6424.677976608276,69022.83764839172,3
1,95735.390625,594.0,206.12837118833193,0.0,1.0,90.57941055297852,7626.027660369873,88109.36296463013,3
2,125592.28125,795.0,288.52581845521945,0.0,2.0,90.57941055297852,10146.329884529114,115445.95136547089,3
3,53782.9375,345.0,135.24239033017983,0.0,3.0,90.57941055297852,4391.544184684753,49391.39331531525,3
4,47447.78515625,327.0,150.31605673866164,1.0,4.0,90.57941055297852,4238.094337463379,43209.69081878662,3
5,73403.921875,520.0,208.67513522855324,2.0,4.0,90.57941055297852,6739.477233886719,66664.44464111328,3
0,37428.68359375,339.0,131.64072208433473,4.0,0.0,64.70036315917969,3932.8559761047363,33495.827617645264,4
1,47490.4375,429.0,204.30441710212784,6.0,0.0,64.70036315917969,4976.977031707764,42513.460468292236,4
2,87429.453125,766.0,274.3886515140654,8.0,0.0,64.70036315917969,8886.630317687988,78542.82280731201,4
3,137213.640625,1257.0,450.63919592765996,4.0,1.0,64.70036315917969,14384.234404563904,122829.4062204361,4
4,42488.6640625,385.0,144.31872575652554,1.0,1.0,64.70036315917969,4405.6724309921265,38082.99163150787,4
5,107134.6328125,926.0,335.7545696364336,8.0,1.0,64.70036315917969,10596.500444412231,96538.13236808777,4
6,44992.2734375,416.0,205.5893591038793,9.0,1.0,64.70036315917969,4760.414886474609,40231.85855102539,4
7,50638.66015625,446.0,180.21023179621614,5.0,2.0,64.70036315917969,4978.73717880249,45659.92297744751,4
8,52607.26171875,436.0,170.94332681984142,6.0,2.0,64.70036315917969,4867.106300354004,47740.155418395996,4
9,52329.8359375,463.0,188.58010555136173,7.0,2.0,64.70036315917969,5168.509672164917,47161.32626533508,4
10,58879.81640625,525.0,198.92503469664172,0.0,2.0,64.70036315917969,5860.621118545532,53019.19528770447,4
11,44130.09375,401.0,158.74174702272308,1.0,2.0,64.70036315917969,4476.398225784302,39653.6955242157,4
12,63754.07421875,574.0,239.48946147061832,7.0,3.0,64.70036315917969,6442.410121917725,57311.664096832275,4
13,42151.15625,351.0,143.7075488603399,9.0,3.0,64.70036315917969,3939.522565841675,38211.633684158325,4
14,76019.59375,661.0,258.4901186960874,10.0,3.0,64.70036315917969,7418.872980117798,68600.7207698822,4
15,134724.0,1171.0,458.22367151940813,5.0,3.0,64.70036315917969,13142.96559715271,121581.03440284729,4
16,45253.5078125,402.0,165.54082445107377,3.0,3.0,64.70036315917969,4511.931827545166,40741.575984954834,4
17,66176.90625,625.0,260.9810662073929,0.0,4.0,64.70036315917969,7071.9850063323975,59104.9212436676,4
18,96193.828125,867.0,379.7137468234092,4.0,4.0,64.70036315917969,9810.257600784302,86383.5705242157,4
19,50524.49609375,415.0,141.58139216627524,10.0,4.0,64.70036315917969,4695.798044204712,45828.69804954529,4
20,87070.15625,777.0,344.0849751454805,11.0,4.0,64.70036315917969,8791.891759872437,78278.26449012756,4
0,46633.890625,398.0,152.2285239194158,0.0,0.0,75.05282592773438,5396.116107940674,41237.774517059326,5
1,63009.4921875,521.0,185.0179055516153,1.0,0.0,75.05282592773438,7063.76003074646,55945.73215675354,5
2,44985.8828125,374.0,124.84164465598401,2.0,0.0,75.05282592773438,5070.722171783447,39915.16064071655,5
3,44314.953125,356.0,125.30172024823929,3.0,0.0,75.05282592773438,4826.676719665527,39488.27640533447,5
4,127932.8125,1033.0,351.1208620504233,4.0,0.0,75.05282592773438,14005.49733543396,113927.31516456604,5
5,114756.515625,979.0,301.7986507407787,5.0,0.0,75.05282592773438,13273.3609790802,101483.1546459198,5
6,210022.875,1697.0,528.6033368587418,6.0,0.0,75.05282592773438,23008.06290245056,187014.81209754944,5
7,174149.375,1517.0,384.55411714444267,7.0,0.0,75.05282592773438,20567.608381271362,153581.76661872864,5
8,100914.484375,861.0,268.5260735530424,8.0,0.0,75.05282592773438,11673.507459640503,89240.9769153595,5
9,118548.125,1006.0,277.6486489059512,12.0,0.0,75.05282592773438,13639.42915725708,104908.69584274292,5
10,84334.4375,727.0,232.53928273833733,13.0,0.0,75.05282592773438,9856.724649429321,74477.71285057068,5
11,83996.765625,677.0,241.27394731072374,0.0,1.0,75.05282592773438,8738.20981502533,75258.55580997467,5
12,53401.234375,477.0,141.8672464913187,1.0,1.0,75.05282592773438,6156.759352684021,47244.47502231598,5
13,195742.125,1580.0,540.4863657651824,2.0,1.0,75.05282592773438,20393.458652496338,175348.66634750366,5
14,80995.2265625,698.0,246.44641188336377,3.0,1.0,75.05282592773438,9009.262113571167,71985.96444892883,5
15,72582.9609375,601.0,214.83991579743682,4.0,1.0,75.05282592773438,7757.258639335632,64825.70229816437,5
16,115643.109375,949.0,299.7051906123483,6.0,1.0,75.05282592773438,12248.98244380951,103394.12693119049,5
17,64368.484375,518.0,170.07899216424664,7.0,1.0,75.05282592773438,6685.956697463989,57682.52767753601,5
18,125236.609375,1050.0,316.4517098031039,8.0,1.0,75.05282592773438,13552.61492729187,111683.99444770813,5
19,72390.4375,610.0,169.18196094301754,9.0,1.0,75.05282592773438,7873.423910140991,64517.01358985901,5
20,85970.09375,704.0,206.7231998017004,10.0,1.0,75.05282592773438,9086.705627441406,76883.3881225586,5
21,46953.296875,385.0,128.4433129018291,12.0,1.0,75.05282592773438,4969.292140007019,41984.00473499298,5
22,94788.671875,869.0,203.1378798386724,13.0,1.0,75.05282592773438,11216.402258872986,83572.26961612701,5
23,63978.859375,498.0,216.85443943366985,1.0,2.0,75.05282592773438,6301.650346755981,57677.20902824402,5
24,73009.390625,571.0,213.29223943392344,2.0,2.0,75.05282592773438,7225.3862409591675,65784.00438404083,5
25,61646.21484375,479.0,186.26337930726805,3.0,2.0,75.05282592773438,6061.225935935974,55584.988907814026,5
26,58084.21875,481.0,154.5452501635095,4.0,2.0,75.05282592773438,6086.53376865387,51997.68498134613,5
27,62965.6171875,512.0,205.6451756327951,5.0,2.0,75.05282592773438,6478.80517578125,56486.81201171875,5
28,41283.2578125,328.0,129.66566669420033,6.0,2.0,75.05282592773438,4150.484565734863,37132.77324676514,5
29,83015.21875,677.0,224.34363025040355,7.0,2.0,75.05282592773438,8566.70137500763,74448.51737499237,5
30,126319.40625,1056.0,361.0615321323637,9.0,2.0,75.05282592773438,13362.535675048828,112956.87057495117,5
31,116221.078125,957.0,276.3637069041998,10.0,2.0,75.05282592773438,12109.797955513,104111.280169487,5
32,90726.5390625,825.0,203.04259506365793,11.0,2.0,75.05282592773438,10439.480996131897,80287.0580663681,5
33,49177.1953125,391.0,158.47224098049674,0.0,3.0,75.05282592773438,4823.267663002014,44353.927649497986,5
34,42068.20703125,346.0,141.17713310293573,1.0,3.0,75.05282592773438,4268.160131454468,37800.04689979553,5
35,90242.09375,732.0,281.6314562518542,2.0,3.0,75.05282592773438,9029.749179840088,81212.34457015991,5
36,76396.640625,639.0,187.8572955973445,3.0,3.0,75.05282592773438,7882.526947975159,68514.11367702484,5
37,50955.20703125,471.0,150.56244281760644,4.0,3.0,75.05282592773438,5810.125496864319,45145.08153438568,5
38,44168.83203125,339.0,126.1034666944539,0.0,4.0,75.05282592773438,4127.5558977127075,40041.27613353729,5
39,73354.59375,565.0,225.75655359280373,1.0,4.0,75.05282592773438,6879.259829521179,66475.33392047882,5
40,72486.1640625,582.0,210.8407601687166,2.0,4.0,75.05282592773438,7086.246408462524,65399.917654037476,5
41,79493.625,635.0,227.71526070012098,3.0,4.0,75.05282592773438,7731.557507514954,71762.06749248505,5
0,26551.109375,311.0,89.10123992022372,0.0,0.0,55.7601432800293,4468.315432548523,22082.793942451477,6
1,27156.130859375,317.0,106.91223991895585,1.0,0.0,55.7601432800293,4554.520874977112,22601.60998439789,6
2,29272.6328125,322.0,96.87628506200087,2.0,0.0,55.7601432800293,4626.3587436676025,24646.274068832397,6
3,48995.265625,531.0,187.31828351289184,3.0,0.0,55.7601432800293,7629.181654930115,41366.083970069885,6
4,148606.75,1638.0,392.0500796416407,3.0,1.0,55.7601432800293,22083.419723510742,126523.33027648926,6
5,132811.34375,1459.0,392.6054400089105,2.0,2.0,55.7601432800293,18583.484042167664,114227.85970783234,6
6,119853.953125,1316.0,336.6978407842257,1.0,3.0,55.7601432800293,16619.100959777832,103234.85216522217,6
7,112736.1015625,1295.0,369.9472980086805,2.0,4.0,55.7601432800293,16338.193235397339,96397.90832710266,6
0,189403.328125,1549.0,397.6431515604373,2.0,0.0,73.11516952514648,20378.95591068268,169024.37221431732,7
1,161609.21875,1331.0,309.6526323747532,3.0,0.0,73.11516952514648,17510.904013633728,144098.31473636627,7
2,106008.4921875,849.0,221.20203759681374,0.0,1.0,73.11516952514648,10740.233459472656,95268.25872802734,7
3,121369.75,930.0,234.7212559613178,5.0,1.0,73.11516952514648,11764.920043945312,109604.82995605469,7
4,86385.78125,722.0,195.5139360008256,6.0,1.0,73.11516952514648,9133.626098632812,77252.15515136719,7
5,42247.6015625,339.0,115.37739844911596,0.0,2.0,73.11516952514648,4206.362754821777,38041.23880767822,7
6,73402.4375,564.0,149.12639951192472,1.0,2.0,73.11516952514648,6998.196441650391,66404.24105834961,7
