,index,label,x,y,length,frame,r,score,intensity,background,area,perimeter,diameter(nm),length(um),final_intensity,cells
26,0,284,953.4137931034483,413.41379310344826,7.0493419802375925,0,3.0,0.7575757575757576,4392.7783203125,873.9006690972019,28.274333882308138,18.84955592153876,240.0,753.9822368615504,3518.877651215298,1
27,0,290,964.4545454545455,325.3333333333333,7.299565877221221,0,3.2,0.75,6897.625,876.8273256883531,32.169908772759484,20.106192982974676,256.0,804.247719318987,6020.797674311647,1
40,0,403,1203.7674418604652,864.1860465116279,8.379520209636356,0,3.7,0.76,8848.560546875,1589.449968477711,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,7259.110578397289,1
50,0,471,1399.7777777777778,951.0370370370371,6.895493050733814,0,2.9000000000000004,0.7333333333333333,5072.3564453125,716.6841735495836,26.420794216690165,18.221237390820804,232.00000000000003,728.8494956328321,4355.672271762916,1
5,0,74,521.1923076923077,815.1538461538462,6.849884833709165,1,3.0,0.7741935483870968,4897.46484375,663.7972246772842,28.274333882308138,18.84955592153876,240.0,753.9822368615504,4233.667619072716,1
19,0,223,890.2916666666666,153.79166666666666,8.602086752834648,1,3.7,0.7222222222222222,9041.4150390625,1789.968523333082,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,7251.446515729418,1
2,0,81,539.0625,647.0,7.810249675906654,2,3.2,0.7692307692307693,5899.04345703125,1467.8040688697947,32.169908772759484,20.106192982974676,256.0,804.247719318987,4431.239388161455,1
8,0,196,821.2105263157895,838.3947368421053,8.24260546968152,2,3.7,0.7659574468085106,8282.19921875,1300.7924055168405,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,6981.4068132331595,1
9,0,200,831.1071428571429,902.1428571428571,7.147404369826358,2,3.2,0.7567567567567568,5821.9189453125,819.0725433267944,32.169908772759484,20.106192982974676,256.0,804.247719318987,5002.846401985706,1
10,0,219,890.6595744680851,154.2340425531915,9.08313015308816,2,3.7,0.803921568627451,9532.880859375,1858.455832391046,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,7674.425026983954,1
12,0,237,964.3823529411765,326.2352941176471,7.828518883645184,2,3.2,0.775,7212.5966796875,897.8485272137914,32.169908772759484,20.106192982974676,256.0,804.247719318987,6314.748152473709,1
5,0,179,786.2333333333333,1035.0333333333333,7.475321221964581,3,2.9000000000000004,0.7741935483870968,4700.4794921875,869.4162752130069,26.420794216690165,18.221237390820804,232.00000000000003,728.8494956328321,3831.063216974493,1
7,0,188,820.5384615384615,837.5897435897435,8.060932868178309,3,3.2,0.7674418604651163,7090.6669921875,992.1258749784902,32.169908772759484,20.106192982974676,256.0,804.247719318987,6098.54111720901,1
10,0,232,964.2333333333333,326.3,6.8367507221156085,3,3.2,0.8108108108108109,6889.646484375,966.3541561802849,32.169908772759484,20.106192982974676,256.0,804.247719318987,5923.292328194715,1
4,0,145,852.2727272727273,441.0,7.746949949232258,4,3.2,0.75,6086.89404296875,1064.473498228239,32.169908772759484,20.106192982974676,256.0,804.247719318987,5022.420544740511,1
6,0,159,888.3333333333334,154.41666666666666,10.107773549456725,4,4.2,0.7213114754098361,9238.0947265625,2108.669034298975,55.41769440932395,26.389378290154262,336.0,1055.5751316061705,7129.425692263525,1
7,0,165,901.0512820512821,149.53846153846155,9.254329700319442,4,3.7,0.7142857142857143,6745.86474609375,1772.529488687287,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,4973.335257406463,1
8,0,187,963.6829268292682,327.0731707317073,7.9933518415544205,4,3.7,0.7916666666666666,7887.0390625,941.2584398151375,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,6945.7806226848625,1
11,0,67,634.4776119402985,465.1641791044776,10.921745088663872,0,4.5,0.7435897435897436,13503.982421875,2126.0173239974974,63.61725123519331,28.274333882308138,360.0,1130.9733552923256,11377.965097877503,2
16,0,89,694.2,388.0,7.285597788442933,0,3.0,0.7878787878787878,6899.7939453125,668.9172171691316,28.274333882308138,18.84955592153876,240.0,753.9822368615504,6230.876728143368,2
19,0,103,742.1463414634146,587.439024390244,9.243308760099234,0,3.2,0.7333333333333333,6912.81005859375,849.7609471195756,32.169908772759484,20.106192982974676,256.0,804.247719318987,6063.049111474174,2
23,0,117,782.7368421052631,629.5263157894736,10.582533478629417,0,4.2,0.7272727272727273,9270.8154296875,1291.7198731165845,55.41769440932395,26.389378290154262,336.0,1055.5751316061705,7979.0955565709155,2
