,index,label,x,y,length,frame,r,score,intensity,background,area,perimeter,diameter(nm),length(um),final_intensity,cells
59,0,211,531.1041666666666,679.25,8.967845821495,0,3.7,0.86,12708.240234375,2024.6063620119821,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,10683.633872363018,2
61,0,217,539.2459016393443,660.2295081967213,9.598479563970633,0,4.300000000000001,0.8208955223880597,15275.859375,3911.6847050106153,58.08804816487529,27.017696820872224,344.00000000000006,1080.7078728348888,11364.174669989385,2
81,0,277,585.5,759.15625,7.232676083726128,0,3.0,0.7941176470588235,7390.798828125,1488.9308370694052,28.274333882308138,18.84955592153876,240.0,753.9822368615504,5901.867991055595,2
82,0,279,588.574074074074,734.0,10.118250921893948,0,3.7,0.8,11166.931640625,1775.926027415553,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,9391.005613209447,2
83,0,281,589.0,690.5,9.164072022726678,0,3.7,0.8235294117647058,12209.677734375,1852.0879551989492,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,10357.58977917605,2
84,0,286,592.2881355932203,401.0,9.25819208170268,0,4.300000000000001,0.875,15556.3203125,2343.6465723942965,58.08804816487529,27.017696820872224,344.00000000000006,1080.7078728348888,13212.673740105703,2
85,0,287,593.1639344262295,420.88524590163934,10.780557377411295,0,4.300000000000001,0.7183098591549296,16104.75,2732.890522920352,58.08804816487529,27.017696820872224,344.00000000000006,1080.7078728348888,13371.859477079648,2
89,0,296,600.4814814814815,255.74074074074073,9.474343618402628,0,4.2,0.7619047619047619,15082.09765625,3217.2532203742303,55.41769440932395,26.389378290154262,336.0,1055.5751316061705,11864.84443587577,2
90,0,302,607.4615384615385,615.4307692307692,9.577689210628446,0,4.5,0.7631578947368421,17282.189453125,2987.149417724926,63.61725123519331,28.274333882308138,360.0,1130.9733552923256,14295.040035400074,2
91,0,304,608.5652173913044,683.4565217391304,12.520224198293553,0,5.9,0.7327586206896551,25287.21484375,4466.405289120972,109.3588402714607,37.07079331235956,472.00000000000006,1482.8317324943825,20820.809554629028,2
93,0,306,607.6052631578947,737.578947368421,7.440760530484164,0,3.7,0.7291666666666666,9343.4326171875,1963.384540497791,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,7380.048076689709,2
102,0,332,621.6216216216217,276.4594594594595,8.38108244215747,0,3.7,0.7446808510638298,9814.74609375,1865.8539621066302,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,7948.89213164337,2
103,0,333,624.1851851851852,304.14814814814815,6.575096911547958,0,2.9000000000000004,0.8571428571428571,7161.9248046875,1198.0321746319532,26.420794216690165,18.221237390820804,232.00000000000003,728.8494956328321,5963.892630055547,2
106,0,346,631.468085106383,375.3404255319149,9.491197367606738,0,4.0,0.7454545454545455,11671.796875,2126.945572228986,50.26548245743669,25.132741228718345,320.0,1005.3096491487339,9544.851302771014,2
107,0,351,639.5138888888889,388.6111111111111,11.45524511184954,0,4.5,0.7195121951219512,15211.986328125,3874.8739068293944,63.61725123519331,28.274333882308138,360.0,1130.9733552923256,11337.112421295606,2
109,0,357,644.6428571428571,398.0857142857143,11.296662355885818,0,5.0,0.735632183908046,18792.2578125,4493.482765731867,78.53981633974483,31.41592653589793,400.0,1256.6370614359173,14298.775046768133,2
111,0,361,644.6538461538462,507.34615384615387,8.638704702379357,0,4.300000000000001,0.7936507936507936,14880.224609375,2502.7879667049274,58.08804816487529,27.017696820872224,344.00000000000006,1080.7078728348888,12377.436642670073,2
