Distance_(microns),Gray_Value
0.000000,50.569
0.040000,43.431
0.080000,118.803
0.120000,181.451
0.160000,288.215
0.200000,479.750
0.240000,519.699
0.280000,330.957
0.320000,177.536
0.360000,331.368
0.400000,623.459
0.440000,568.238
0.480000,258.513
0.520000,73.156
0.560000,43.681
0.600000,45.654
0.640000,59.846
0.680000,79.159
0.720000,82.017
0.760000,113.297
