,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0.0,0.021318285,0.3124726,0.43059283,0.09965961,0.0,0.4475924,0.82047266,0.5965111,0.56252635,1.0,0.97011983,0.27730486,0.0,0.0,0.0883928
1,0.23381853,0.106476665,0.0,0.0,0.31321523,0.73975223,0.76650023,0.5867478,0.62748706,0.88357204,1.0,0.7868644,0.4356172,0.20611309,0.13155927,0.1489376
2,0.08302103,0.17608932,0.17457691,0.0,0.0,0.5180157,0.7954272,0.4711406,0.3289105,0.7592727,1.0,0.61639166,0.17431802,0.108748786,0.17185752,0.08814851
3,0.028326005,0.20158346,0.2829515,0.10732856,0.013320875,0.39727554,0.74745643,0.44507024,0.14456423,0.5708825,1.0,0.6705048,0.12951015,0.0,0.07137773,0.08940534
4,0.20172718,0.13135497,0.09991848,0.025668906,0.0,0.23937431,0.87131464,1.0,0.50606,0.19716674,0.2870756,0.33477885,0.2613499,0.21118285,0.16299152,0.09673013
5,0.23716578,0.13191313,0.043010518,0.15303615,0.2261382,0.1757214,0.3835839,0.84629536,1.0,0.7457304,0.50160825,0.35434303,0.14894088,0.0,0.0,0.03475087
6,0.24751393,0.06834426,0.0,0.15846665,0.56839085,0.834709,0.67886674,0.54750717,0.8207381,1.0,0.6893174,0.37461445,0.42596135,0.48240015,0.2565605,0.0
7,0.18797866,0.16602746,0.054486446,0.071482666,0.14939253,0.06836404,0.10130364,0.5622622,1.0,0.8734932,0.46221927,0.26345465,0.20449199,0.06600002,0.0,0.05741952
8,0.10358791,0.09537516,0.100116886,0.16797012,0.26414225,0.35486594,0.5000437,0.710956,0.77581835,0.5410568,0.37987357,0.69216925,1.0,0.6594243,0.0787301,0.0
9,0.013123866,0.12454043,0.15722302,0.0070961164,0.0,0.101233326,0.5202399,0.80650693,0.9022985,0.98513234,1.0,0.792894,0.45043722,0.17600992,0.09063147,0.14436348
10,0.13677023,0.18755424,0.18303943,0.12891996,0.0,0.08766643,0.61229736,1.0,0.76246417,0.4300835,0.5413047,0.6630316,0.3333364,0.0,0.0,0.0
11,0.089530915,0.06128542,0.0014181971,0.0,0.123798415,0.605421,0.71286184,0.49167302,0.5980547,1.0,0.9420921,0.26534173,0.0,0.0,0.14634599,0.11880389
12,0.07465278,0.10859857,0.10829876,0.07547687,0.039547246,0.16328509,0.5608363,0.97162324,1.0,0.6902227,0.41628262,0.27397433,0.1255772,0.008461459,0.0,0.033418756
13,0.4600586,0.2939439,0.22239792,0.03575743,0.03453186,0.448419,0.8866334,1.0,0.956389,0.90126395,0.7632129,0.50593376,0.15053318,0.0,0.061342157,0.4207754
14,0.02558432,0.08672978,0.16698603,0.15923403,0.1692371,0.49235335,1.0,0.9780156,0.26748878,0.0,0.35972822,0.69893813,0.17907931,0.0,0.0,0.1780864
15,0.06883209,0.20850018,0.25219786,0.16393614,0.08479392,0.31443578,0.8214041,1.0,0.6517435,0.4289753,0.58830166,0.5829295,0.25232354,0.016126167,0.0,0.01732124
16,0.18314448,0.11007929,0.062385105,0.05066939,0.08681943,0.29585624,0.5312033,0.58063924,0.67507905,0.9471086,1.0,0.71002114,0.44611675,0.28157994,0.08245311,0.0
17,0.24864198,0.32924646,0.22095732,0.07361222,0.27214137,0.7258508,0.8351018,0.42646265,0.15363005,0.4529475,0.87844217,1.0,0.8998592,0.5902036,0.1159908,0.0
18,0.28852752,0.25537598,0.117021404,0.31430227,0.60372484,0.62318295,0.72024584,1.0,0.9094441,0.41434747,0.16723455,0.4226164,0.75708276,0.68500704,0.19922787,0.0
19,0.3217095,0.12016666,0.20301703,0.4461972,0.37323245,0.14545135,0.45467144,1.0,0.9234685,0.575524,0.56866235,0.3665357,0.0,0.0,0.12415508,0.23800659
