1.0	2196.2
2.0	2070.3
3.0	2027.8
4.0	1861.6
5.0	298.5
6.0	331.5
7.0	320.4
8.0	388.8
9.0	397.6
10.0	394.4
11.0	385.6
12.0	386.1
13.0	404.6
14.0	446.6
15.0	422.5
16.0	459.4
17.0	445.2
18.0	498.6
19.0	493.7
20.0	540.6
21.0	574.6
22.0	630.0
23.0	649.6
24.0	656.2
25.0	734.8
26.0	685.1
27.0	662.7
28.0	678.1
29.0	717.6
30.0	681.9
31.0	652.8
32.0	631.0
33.0	643.1
34.0	729.2
35.0	696.9
36.0	732.4
37.0	741.0
38.0	740.3
39.0	675.4
40.0	695.2
41.0	721.7
42.0	770.1
43.0	756.5
44.0	767.6
45.0	793.4
46.0	782.0
47.0	824.4
48.0	833.6
49.0	823.8
50.0	869.4
51.0	820.3
52.0	738.2
53.0	740.4
54.0	779.2
55.0	748.0
56.0	755.5
57.0	848.8
58.0	825.6
59.0	789.9
60.0	858.2
61.0	835.2
62.0	842.1
63.0	863.7
64.0	967.2
65.0	957.3
66.0	958.6
67.0	879.5
68.0	857.9
69.0	918.9
70.0	881.1
71.0	797.2
72.0	838.4
73.0	861.9
74.0	817.8
75.0	857.0
76.0	820.3
77.0	835.8
78.0	857.5
79.0	783.6
80.0	742.3
81.0	840.5
82.0	885.0
83.0	809.9
84.0	787.6
85.0	820.5
86.0	793.3
87.0	785.9
88.0	784.8
89.0	795.1
90.0	797.9
91.0	715.8
92.0	770.7
93.0	796.1
94.0	757.4
95.0	683.3
96.0	709.9
97.0	746.2
98.0	729.8
99.0	689.7
100.0	736.3
