LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,EXTRACK_P_STUCK,EXTRACK_P_DIFFUSIVE,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Probability stuck,Probability diffusive,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,P stuck,P diffusive,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,,,
ID842061,842061,2,16.053531646728516,23.282748945475678,5.2348372741297995,0.0,0.09910738468170166,2,0.75,1,,585.9459459459459,582.0,475.0,664.0,21680.0,46.208432338905624,37358.08108108108,37383.0,33813.0,40756.0,1382249.0,1805.817010822685,,,0.017119732114683126,0.4268656412129492,0.01567299934984204,0.6384678370904381
ID842377,842377,2,19.731409072875977,22.29758777531077,2.6047674008851556,0.0,0.04955369234085083,1,0.75,1,,613.7027027027027,607.0,516.0,768.0,22707.0,59.76661315523951,32075.18918918919,32336.0,25415.0,35104.0,1186782.0,1938.8086095136682,,,0.03542319872918273,0.7025856414532844,0.023363723486223384,0.755398855455455
ID842137,842137,2,12.567537307739258,23.97761937373859,3.1774122172057884,0.0,0.24776846170425415,5,0.75,1,,577.8648648648649,572.0,493.0,721.0,21381.0,52.41933600101004,35131.16216216216,35398.0,27118.0,41461.0,1299853.0,3243.7412600054686,,,0.01574325671564819,0.3417239353737073,0.07939357697612863,1.593242368630627
ID842340,842340,2,13.92130184173584,23.777735625799515,3.184872170560185,0.0,0.297322154045105,6,0.75,1,,581.1351351351351,570.0,480.0,746.0,21502.0,61.14879946225989,34786.0,35085.0,27118.0,41461.0,1287082.0,2534.9777557647762,,,0.025546622603449167,0.4734752453367763,0.060199752485330396,1.5583583868419595
ID842197,842197,2,39.24703598022461,22.38391835437937,1.6479238238987972,0.0,0.0,0,0.75,1,,624.918918918919,605.0,457.0,817.0,23122.0,85.70439453868887,22183.945945945947,20786.0,11316.0,33630.0,820806.0,7337.354666158439,,,0.05158761134663752,0.715402635047746,-0.025908364517380357,-0.16083089049327984
ID842422,842422,2,15.684696197509766,23.777778333824994,3.181059919599244,0.0,0.3468758463859558,7,0.75,1,,582.1081081081081,585.0,494.0,701.0,21538.0,44.271124137889615,34786.0,35085.0,27118.0,41461.0,1287082.0,2534.9777557647762,,,0.02570428815398355,0.6590168279789843,0.060199752485330396,1.5583583868419595
ID842098,842098,2,16.269094467163086,24.287146010181,5.528420941880611,0.0,0.19821476936340332,4,0.75,1,,582.8378378378378,571.0,504.0,711.0,21565.0,46.124537645086185,35578.24324324324,35726.0,32108.0,38176.0,1316395.0,1479.4975762325798,,,0.020206619634187423,0.5005543473517602,-0.007270361711950319,-0.35222912814709595
