,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0.29085574,0.8357857,1.0,0.7263669,0.3623442,0.34922144,0.49119973,0.22690935,0.0,0.0,0.26653105,0.7647087,0.9914364,0.9293293,0.58633375,0.21672454
1,1.0,0.18572998,0.0,0.0,0.3820438,0.6115833,0.70388657,0.7364888,0.4813097,0.007075745,0.0,0.0,0.3360772,0.7777371,0.79618734,0.8602883
2,0.30443674,0.4417451,0.20967887,0.0,0.0,0.4157965,0.8514869,1.0,0.95115227,0.71388936,0.36304003,0.098879226,0.0066934116,0.13373767,0.5181681,0.8967466
3,0.27398586,0.33818796,0.42722636,0.40004852,0.46638322,0.7035669,0.7433817,0.40601578,0.04404206,0.0,0.17845224,0.32490396,0.47031572,0.77250946,1.0,0.7668322
4,0.18431173,0.3800568,0.39605555,0.15028131,0.26547095,0.8318725,1.0,0.45825455,0.030834518,0.23683763,0.54337126,0.41450727,0.04371827,0.0,0.1987586,0.7610657
5,0.7320668,0.0,0.0,0.0,0.4569364,0.47200614,0.22437242,0.34261703,0.7139809,0.9149437,1.0,0.99993676,0.74534696,0.37138173,0.19045664,0.41194582
6,0.27963704,0.07875984,0.54988086,1.0,0.7885919,0.1777052,0.0,0.19890948,0.6130351,0.5685907,0.32400945,0.39045918,0.52779764,0.29335225,0.0,0.032341715
7,0.0,0.0,0.0,0.4034181,0.30175805,0.0,0.0,0.0,0.435651,0.8859378,0.8453405,0.9007318,1.0,0.72415566,0.4989646,0.7801082
8,0.8223717,0.29035172,0.0,0.061491545,0.42197508,0.43906876,0.35926485,0.5462663,0.76907617,0.6909721,0.41870043,0.18457545,0.0,0.0,0.20176837,1.0
9,0.4933834,0.6924915,0.8510838,1.0,0.9899212,0.6107416,0.110293426,0.0,0.25825825,0.3716954,0.21024562,0.15046723,0.30037993,0.34613648,0.2343922,0.31139803
10,0.21845752,0.3677821,0.7463254,1.0,0.70449674,0.13329342,0.0,0.3970838,0.6453003,0.38528654,0.13375513,0.39957204,0.87018687,0.961096,0.6816982,0.42256266
