Distance_(microns),Gray_Value
0.000000,121.047
0.040000,37.847
0.080000,115.276
0.120000,354.487
0.160000,433.844
0.200000,326.661
0.240000,340.209
0.280000,444.507
0.320000,404.736
0.360000,241.173
0.400000,89.959
0.440000,21.126
0.480000,6.729
