exp_level,cells
614.9838694216738,20231207_HEM1KO_HEM1-EGFP_epi_1_4.tif
395.6466946146037,20231207_HEM1KO_HEM1-EGFP_epi_1_5.tif
753.4712401242966,20231207_HEM1KO_HEM1-EGFP_epi_2_1.tif
341.66014952852686,20231207_HEM1KO_HEM1-EGFP_epi_2_3.tif
791.2182942888196,20231207_HEM1KO_HEM1-EGFP_epi_2_6.tif
446.96270471331417,20231207_HEM1KO_HEM1-EGFP_epi_3_1.tif
825.8590675336006,20231207_HEM1KO_HEM1-EGFP_epi_3_2.tif
740.5449650830894,20231207_HEM1KO_HEM1-EGFP_epi_4_2.tif
735.4250053007538,20231207_HEM1KO_HEM1-EGFP_epi_4_4.tif
1001.484942235342,20231207_HEM1KO_HEM1-EGFP_epi_4_6.tif
527.9255312126388,20231207_HEM1KO_HEM1-EGFP_epi_4_10.tif
836.6425030984643,20231213_Hem1KO_Hem1-eGFP_1_1.tif
1089.3804375458549,20231213_Hem1KO_Hem1-eGFP_1_3.tif
516.0916922011556,20231213_Hem1KO_Hem1-eGFP_1_4.tif
623.5058318796016,20231213_Hem1KO_Hem1-eGFP_1_5.tif
673.5356109324387,20231213_Hem1KO_Hem1-eGFP_1_6.tif
709.0916069,20231213_Hem1KO_Hem1-eGFP_1_7.tif
659.4354001,20231213_Hem1KO_Hem1-eGFP_1_9.tif
1074.5300086335305,20231213_Hem1KO_Hem1-eGFP_1_10.tif
1181.9606919606572,20231213_Hem1KO_Hem1-eGFP_2_3.tif
721.3013178907507,20231213_Hem1KO_Hem1-eGFP_2_6.tif
682.4695663,20231213_Hem1KO_Hem1-eGFP_3_1.tif
418.5415119683298,20231213_Hem1KO_Hem1-eGFP_3_3.tif
471.8064909877324,20231213_Hem1KO_Hem1-eGFP_3_5.tif
1286.8951538133038,20231213_Hem1KO_Hem1-eGFP_3_6.tif
890.6262487178992,20231213_Hem1KO_Hem1-eGFP_4_2.tif
693.3985441323871,20231213_Hem1KO_Hem1-eGFP_4_4.tif
629.7395568086716,240522_PMW7_LATB_EPI_2-1.tif
625.5709963185489,240522_PMW7_LATB_EPI_2-2.tif
727.7821483029578,240522_PMW7_LATB_EPI_2-3.tif
753.1410489967085,240522_PMW7_LATB_EPI_2-4.tif
588.4782905650446,240522_PMW7_LATB_EPI_2-5.tif
897.0166674030728,240522_PMW7_LATB_EPI_2-6.tif
369.42900600806144,240522_PMW7_LATB_EPI_2-7.tif
851.3936775405516,240522_PMW7_LATB_EPI_2-8.tif
466.58742774566474,240522_PMW7_LATB_EPI_2-9.tif
537.3250645213151,240522_PMW7_LATB_EPI_2-9-1.tif
660.1291651,240522_PMW7_LATB_EPI_2-10.tif
1169.4004703921676,240522_PMW7_LATB_EPI_2-12.tif
505.5143311,240522_PMW7_LATB_EPI_2-13.tif
607.0198100186734,240522_PMW7_LATB_EPI_2-14.tif
704.0148802364342,240522_PMW7_LATB_EPI_2-15.tif
804.2679735,240522_PMW7_LATB_EPI_2-16.tif
458.47937247273103,240522_PMW7_LATB_EPI_2-17.tif
779.2074880422233,240522_PMW7_LATB_EPI_2-18.tif
439.6011519716438,240522_PMW7_LATB_EPI_1-2.tif
858.0594835,240522_PMW7_LATB_EPI_1-3.tif
1079.9380317706186,240522_PMW7_LATB_EPI_1-4.tif
617.6659680676752,240522_PMW7_LATB_EPI_1-5.tif
1255.7471318804642,240522_PMW7_LATB_EPI_1-6.tif
788.8248118349338,240522_PMW7_LATB_EPI_1-7.tif
861.5267193,240522_PMW7_LATB_EPI_1-8.tif
546.6206671700186,240522_PMW7_LATB_EPI_1-9.tif
568.5102892931703,240522_PMW7_LATB_EPI_1-9-1.tif
698.1400026641801,240522_PMW7_LATB_EPI_1-13.tif
1149.905375325598,240522_PMW7_LATB_EPI_3-2.tif
1455.1936579448968,240522_PMW7_LATB_EPI_3-3.tif
1375.1855347732933,240522_PMW7_LATB_EPI_3-4.tif
