,intensity,area,perimeter,label,frame,nor_intensity,nor_length,cells,length(um)
6,5016346,632,199.28982551388253,9,2,0.32965272797074757,0.4611120747955153,10,3.98579651
7,7084396,793,208.50091396134138,11,2,0.46555609749109256,0.4824244729281379,10,4.170018279
8,5362082,731,248.43781555631523,5,3,0.3523730139234499,0.5748295292719696,10,4.968756311
9,9765987,1216,340.75281294186175,10,3,0.6417787480921087,0.7884257822137771,10,6.815056259
10,9075303,1099,340.68064813012876,6,4,0.5963899601644522,0.7882588089828074,10,6.813612963
11,8447688,1122,362.3560507364679,14,4,0.5551457962121729,0.8384108417926357,10,7.247121015
12,2713015,370,127.98323730957381,13,4,0.17828770100299257,0.296124581,10,2.559664746
0,1774894,230,84.06352837,0,0,0.079703154,0.12998673957454793,11,1.681270567
1,1559213,212,89.19652469523821,1,0,0.070017812,0.13792384939711985,11,1.783930494
2,17417432,1965,570.9195529071895,2,0,0.7821448883314573,0.8828081890195657,11,11.41839106
3,4237471,460,140.7565257567791,0,1,0.19028730998362955,0.2176506531669415,11,2.815130515
4,2933775,310,88.7364491,1,1,0.1317437105403725,0.13721243830891522,11,1.774728982
5,22268805,2437,646.7084922957554,2,1,1,1,11,12.93416985
6,12067856,1293,346.86177698182945,0,2,0.5419175389070047,0.536349501,11,6.93723554
7,1900859,232,86.41972285888923,2,2,0.085359722,0.13363010365320424,11,1.728394457
8,13852583,1539,424.62577176052963,6,2,0.6220622525546387,0.6565953235794807,11,8.492515435
9,7284571,933,274.2144302468535,0,3,0.32711997792427566,0.42401550855381165,11,5.484288605
10,2692636,320,115.32158192020013,1,3,0.12091515462998575,0.17832080959818414,11,2.306431638
11,8041073,921,253.49187539065926,6,3,0.36109135627169936,0.39197239314236704,11,5.069837508
12,9170413,1060,304.95659167718566,7,4,0.4118053483336892,0.47155185885161016,11,6.099131834
0,17475771,2131,531.1963408255262,9,0,0.6604741053795784,0.5929396719538494,12,10.62392682
1,24596023,2944,677.1974959666783,11,0,0.9295747974049634,0.7559111956276393,12,13.54394992
2,26459434,3268,895.8691178060878,6,1,1,1,12,17.91738236
3,10410340,1333,419.8575662512292,17,1,0.39344530196677674,0.46865949267168283,12,8.397151325
4,2059210,293,139.41576722611185,5,1,0.077825172,0.15562068661048387,12,2.788315345
5,8155630,1078,352.84275968114844,8,2,0.30823146103578786,0.39385525482252615,12,7.056855194
6,9048468,1194,322.1727630625493,17,2,0.34197511556747584,0.3596203470564146,12,6.443455261
7,3245799,412,126.00818191943941,16,2,0.12267076461272754,0.14065467758060846,12,2.520163638
8,3581650,431,124.2862842887142,12,2,0.13536381768408198,0.13873263607197603,12,2.485725686
9,9253267,939,204.78761265766468,10,3,0.3497152282244586,0.22859099458542922,12,4.095752253
10,8133003,981,255.34852604249764,19,3,0.3073763029095785,0.2850288295100805,12,5.106970521
11,4684754,589,219.26645045277803,18,3,0.17705420304909017,0.24475277258104858,12,4.385329009
12,1594158,230,94.23423624676505,12,3,0.060249135,0.10518750381477285,12,1.884684725
13,10651656,1104,245.66101371996626,7,4,0.40256552728981276,0.27421529421794394,12,4.913220274
14,17026931,1852,399.0002583739217,3,4,0.6435107795578696,0.44537784643256995,12,7.980005167
15,3279113,347,88.18108874,10,4,0.1239298240468787,0.098430772,12,1.763621775
0,29168708,3259,924.5640590345527,0,0,0.9044627087647125,0.9020258641637316,13,18.49128118
1,3312473,435,178.66255543270273,7,0,0.1027130959070924,0.17430727961258716,13,3.573251109
2,32249763,3621,1024.9861958134827,0,1,1,1,13,20.49972392
3,25269335,3007,902.4449291187753,0,2,0.7835510295067905,0.8804459345938291,13,18.04889858
4,2027185,258,98.71658743102209,0,3,0.062858912,0.096310163,13,1.974331749
5,8375027,1020,359.65818539231634,4,3,0.259692668,0.35089076015006504,13,7.193163708
6,3167105,408,169.27724571803202,0,4,0.098205528,0.16515075657549197,13,3.385544914
7,10280183,1100,316.6980958820487,1,4,0.31876770691307094,0.30897791323979784,13,6.333961918
