,intensity,area,perimeter,label,frame,background,final_intensity,length(um),unit_length_intensity
0,490057.53125,2082.0,703.6709957260639,2.0,0.0,84355.1117477417,405702.4195022583,14.073419914521278,28827.56444179181
1,73232.3046875,329.0,140.39173493953825,6.0,0.0,13329.890377044678,59902.41431045532,2.807834698790765,21334.02451941105
2,110744.515625,489.0,186.43760057447986,9.0,1.0,19814.679416656494,90929.8362083435,3.7287520114895973,24386.13131904634
3,125061.328125,566.0,241.08337776069476,10.0,1.0,22934.78231048584,102126.54581451416,4.821667555213895,21180.752228361314
0,314642.21875,1372.0,442.95266388043297,4.0,0.0,61351.97392272949,253290.2448272705,8.859053277608659,28591.11881260089
1,259502.734375,1084.0,394.9943310647371,9.0,1.0,48253.00639343262,211249.72798156738,7.899886621294741,26740.85567407104
2,69739.2421875,283.0,107.546536778423,9.0,2.0,12462.45985031128,57276.78233718872,2.15093073556846,26628.836247509982
3,87267.796875,375.0,136.5994971436642,10.0,2.0,16513.86022567749,70753.93664932251,2.731989942873284,25898.315194714552
4,62200.703125,264.0,97.7569680004128,11.0,2.0,11625.757598876953,50574.94552612305,1.955139360008256,25867.69340366074
5,95084.8125,407.0,155.04479400186347,8.0,3.0,17587.17294692993,77497.63955307007,3.1008958800372692,24992.016033811055
6,55920.29296875,232.0,88.08580396069863,9.0,3.0,10025.120697021484,45895.172271728516,1.7617160792139726,26051.401138488578
7,53822.15625,235.0,96.7415320408877,10.0,3.0,10154.755878448486,43667.400371551514,1.9348306408177542,22569.10731633624
8,145385.609375,578.0,181.20931947292405,10.0,4.0,25197.355072021484,120188.25430297852,3.624186389458481,33162.82370370493
0,1143072.5,4330.0,1152.065630221363,1.0,0.0,200650.51586151123,942421.9841384888,23.04131260442726,40901.40176985436
1,192987.53125,819.0,284.65464416714804,0.0,1.0,38615.679416656494,154371.8518333435,5.693092883342961,27115.639072921113
2,80190.640625,332.0,142.28785383747532,5.0,1.0,15653.730850219727,64536.90977478027,2.8457570767495066,22678.291939273997
3,53176.73046875,237.0,93.54412285838208,12.0,1.0,11174.500637054443,42002.22983169556,1.8708824571676417,22450.491034740575
4,309092.125,1311.0,432.1149625772633,16.0,1.0,61813.37694168091,247278.7480583191,8.642299251545266,28612.61116526427
5,533443.6875,2122.0,631.6742941333722,11.0,2.0,102348.91590118408,431094.7715988159,12.633485882667443,34123.18465406748
6,358968.4375,1353.0,426.1012833123101,13.0,3.0,66830.66142654419,292137.7760734558,8.522025666246202,34280.32107795061
