,intensity,area,perimeter,label,frame,background,final_intensity,length(um),unit_length_intensity
0,534286.75,2106.0,779.1346125434875,2.0,0.0,94384.45218658449,439902.2978134155,15.58269225086975,28230.18581971048
1,112250.8359375,424.0,176.8222530636815,0.0,1.0,19219.207489013672,93031.62844848631,3.5364450612736302,26306.538582273784
2,59909.8359375,230.0,96.26510816581523,1.0,1.0,10425.513496398926,49484.322441101074,1.925302163316305,25702.10712061168
3,52716.640625,202.0,90.9578905720621,3.0,1.0,9156.32054901123,43560.32007598877,1.819157811441242,23945.32228156598
4,459719.65625,1825.0,665.4791117250968,4.0,1.0,82724.183177948,376995.473072052,13.309582234501937,28325.116929273758
5,90091.1875,350.0,140.37538665672113,0.0,2.0,15719.163513183594,74372.0239868164,2.8075077331344227,26490.40752731401
6,133968.84375,530.0,240.04482183788812,1.0,2.0,23803.30474853516,110165.53900146484,4.800896436757763,22946.868455230426
7,69760.59375,278.0,120.54986302175595,3.0,2.0,12485.507019042969,57275.08673095703,2.4109972604351197,23755.76599395241
8,227755.828125,936.0,389.4638473553207,6.0,2.0,42037.534423828125,185718.29370117188,7.789276947106414,23842.815573551165
9,64423.20703125,244.0,96.5904307369574,7.0,2.0,10958.502563476562,53464.70446777344,1.931808614739148,27675.984080334365
10,81304.3671875,318.0,129.8004197153135,8.0,2.0,14281.982849121094,67022.3843383789,2.59600839430627,25817.47597017661
11,63350.90625,239.0,99.09772653108004,9.0,2.0,10733.943084716797,52616.9631652832,1.9819545306216009,26548.01729925708
12,211625.015625,830.0,324.8937483699825,0.0,3.0,36628.60378265381,174996.4118423462,6.4978749673996505,26931.32950700297
13,305400.0,1186.0,404.9975893560578,1.0,3.0,52339.18564605713,253060.81435394287,8.099951787121157,31242.26180658348
14,95007.4296875,362.0,148.01567877738512,2.0,3.0,15975.36695098877,79032.06273651123,2.9603135755477026,26697.19295594863
15,54052.6328125,214.0,101.87452836742904,3.0,3.0,9444.001457214355,44608.631355285645,2.0374905673485806,21893.90815847338
16,433952.90625,1713.0,703.8057487471771,0.0,4.0,73906.51015090942,360046.3960990906,14.07611497494354,25578.534754795488
17,119888.734375,461.0,175.15617196187213,2.0,4.0,19889.60956192017,99999.12481307983,3.503123439237443,28545.704011745464
0,54518.7890625,237.0,106.81695514394136,8.0,0.0,8155.526172637939,46363.26288986206,2.136339102878828,21702.202064918045
1,93641.9921875,385.0,109.63322522638904,14.0,1.0,13027.922744750977,80614.06944274902,2.1926645045277806,36765.34612398915
2,47080.4921875,207.0,91.68747220654372,0.0,2.0,7015.908176422119,40064.58401107788,1.8337494441308744,21848.45052812923
3,111343.234375,497.0,187.18353049177867,4.0,2.0,16844.958278656006,94498.276096344,3.743670609835573,25242.144928048165
4,294478.9375,1305.0,431.1553431466541,11.0,2.0,44230.72546005249,250248.2120399475,8.623106862933081,29020.655318056397
5,399575.28125,1924.0,677.2927807416927,11.0,3.0,66026.82067871094,333548.46057128906,13.545855614833854,24623.653909763023
6,74481.875,341.0,155.86966041135958,9.0,4.0,11753.013832092283,62728.86116790772,3.117393208227192,20122.21653731662
7,162130.78125,751.0,338.7777575517274,10.0,4.0,25884.203483581543,136246.57776641846,6.775555151034548,20108.54826347553
0,131615.40625,636.0,222.55914441029813,0.0,0.0,18819.872108459476,112795.53414154051,4.451182888205962,25340.57507284372
1,299078.375,1369.0,412.5589449845244,0.0,1.0,40868.10247612,258210.27252388,8.251178899690489,31293.743071498036
2,136612.359375,590.0,176.63168351365255,1.0,1.0,17612.98791885376,118999.37145614624,3.532633670273051,33685.73777052527
3,377887.8125,1682.0,647.0338148668975,0.0,2.0,51165.358978271484,326722.4535217285,12.94067629733795,25247.710862603
4,57640.8828125,262.0,106.03155698054393,0.0,3.0,8152.816062927246,49488.066749572754,2.1206311396108783,23336.480270045213
5,45691.8828125,212.0,83.37341498031392,1.0,3.0,6596.935134887695,39094.94767761231,1.6674682996062786,23445.691703310567
6,72721.6875,314.0,164.0489646164762,2.0,3.0,9770.93222808838,62950.75527191162,3.2809792923295245,19186.57500188489
7,48520.42578125,202.0,107.41178375730983,3.0,3.0,6285.758949279785,42234.666831970215,2.148235675146197,19660.164534366537
8,74763.4921875,319.0,133.36261971505994,0.0,4.0,10099.716400146484,64663.77578735352,2.6672523943011988,24243.590867333336
9,69481.578125,309.0,134.55227694179686,1.0,4.0,9783.110870361328,59698.46725463867,2.691045538835937,22184.1163195114
10,111402.8203125,478.0,228.19168457519345,2.0,4.0,15133.744323730469,96269.07598876952,4.563833691503868,21093.905364690683
0,291183.09375,1269.0,385.14894575781113,0.0,0.0,41611.6051940918,249571.4885559082,7.702978915156223,32399.347227194987
1,98577.03125,428.0,154.98897747294765,1.0,0.0,14034.489379882812,84542.54187011719,3.0997795494589533,27273.72721872223
2,372447.15625,1540.0,492.2354069439788,0.0,1.0,51041.68518066406,321405.47106933594,9.844708138879575,32647.536781716622
3,274992.53125,1262.0,544.945596986158,0.0,2.0,42047.34588623047,232945.18536376956,10.89891193972316,21373.25144492236
4,53968.703125,250.0,124.80217640988532,0.0,3.0,8543.811798095703,45424.8913269043,2.4960435281977067,18198.757679399845
5,53182.35546875,236.0,116.06751183749893,1.0,3.0,8065.358337402344,45116.997131347656,2.321350236749978,19435.66998942564
0,147537.890625,643.0,253.24548931171444,2.0,0.0,19459.86847114563,128078.02215385436,5.064909786234288,25287.32545285454
1,60819.59765625,302.0,100.01787771559066,5.0,0.0,9139.782703399658,51679.81495285034,2.000357554311813,25835.288716986324
2,49459.66015625,216.0,103.58007771533708,6.0,0.0,6537.063125610352,42922.59703063965,2.0716015543067416,20719.52347274794
3,65219.89453125,290.0,151.21308795989074,3.0,1.0,8849.722080230713,56370.17245101929,3.024261759197815,18639.31661324563
4,70193.5703125,293.0,134.60809347071267,4.0,2.0,9009.268268585203,61184.3020439148,2.692161869414253,22726.82885046097
5,274611.0,1171.0,422.57855155866224,7.0,2.0,36006.32471847534,238604.67528152463,8.451571031173245,28231.99076259809
6,110841.78125,458.0,168.41291106243722,3.0,3.0,14546.686359405518,96295.09489059448,3.3682582212487446,28588.988303543465
7,197667.0625,865.0,330.56575678097647,6.0,3.0,27473.54519844055,170193.51730155945,6.611315135619529,25742.7627953498
8,64263.87109375,275.0,116.75762522588188,7.0,3.0,8734.364080429077,55529.50701332092,2.335152504517638,23779.8203354566
9,91727.0078125,379.0,137.97972392043013,1.0,4.0,12162.355838775637,79564.65197372437,2.759594478408603,28832.00868687328
10,53533.3515625,220.0,107.46760028622566,5.0,4.0,7059.94270324707,46473.40885925293,2.149352005724513,21622.05573376403
11,115699.0,493.0,167.15108902396736,7.0,4.0,15820.689785003662,99878.31021499634,3.343021780479347,29876.655545054524
12,77931.28125,357.0,158.13057012653746,8.0,4.0,11456.361568450928,66474.91968154907,3.162611402530749,21018.99703148963
0,208566.28125,862.0,277.2607381254289,2.0,0.0,35904.402519226074,172661.87873077393,5.545214762508578,31137.094977483637
1,318277.8125,1325.0,416.6043405398077,11.0,0.0,55189.48183059693,263088.3306694031,8.332086810796154,31575.322802507413
2,61183.328125,267.0,114.95679110295931,1.0,1.0,11822.916526794434,49360.41159820557,2.2991358220591867,21469.11510168923
3,679557.9375,2985.0,1052.0872207518712,6.0,1.0,132177.5499343872,547380.3875656128,21.041744415037424,26014.0213077785
4,48217.32421875,207.0,83.5081680014271,19.0,1.0,9166.081352233889,39051.24286651611,1.670163360028542,23381.69055861024
5,152575.40625,657.0,268.79557959526875,1.0,2.0,30310.663822174072,122264.74242782591,5.375911591905375,22743.07163308313
6,207260.453125,906.0,345.94162579731886,10.0,2.0,41798.26700592041,165462.1861190796,6.918832515946377,23914.75523330358
7,62308.7421875,268.0,106.8169551439414,17.0,2.0,12364.167282104492,49944.57490539551,2.136339102878828,23378.58013182112
8,70211.40625,316.0,133.21151841112962,26.0,2.0,14578.64500427246,55632.76124572754,2.6642303682225923,20881.362929153245
9,47298.640625,212.0,78.37517167488576,27.0,2.0,9780.609939575195,37518.030685424805,1.5675034334977154,23934.89537800077
10,92958.296875,409.0,157.036197674815,28.0,2.0,18869.1955909729,74089.1012840271,3.1407239534963005,23589.81635477706
11,112490.078125,468.0,187.72254257623132,25.0,2.0,21591.15779113769,90898.9203338623,3.754450851524627,24210.976232902234
12,124542.453125,541.0,182.56642628640844,9.0,3.0,26623.17497253418,97919.27815246582,3.651328525728169,26817.43849190842
13,228856.515625,953.0,321.64052265856105,22.0,3.0,46898.12522888184,181958.39039611816,6.432810453171221,28285.986618246625
14,632767.3125,2822.0,953.5448545880608,18.0,3.0,138873.56704711914,493893.74545288086,19.070897091761218,25897.772038539653
15,293131.5625,1310.0,510.8876216350242,2.0,4.0,68197.68730163574,224933.87519836423,10.217752432700484,22014.026732385384
16,652860.5,2835.0,891.6630443445215,19.0,4.0,147588.12480926514,505272.37519073486,17.83326088689043,28333.145485589248
17,56728.61328125,260.0,112.69588138778148,27.0,4.0,13535.418853759766,43193.19442749024,2.2539176277556296,19163.608241753034
18,313484.0,1360.0,480.2869849062696,26.0,4.0,70800.65246582031,242683.3475341797,9.605739698125392,25264.41015068736
19,110715.765625,488.0,189.71394624918287,24.0,4.0,25404.940002441406,85310.8256225586,3.7942789249836575,22484.068069119625
0,86244.921875,349.0,111.6640971454392,0.0,0.0,13620.819885253906,72624.1019897461,2.233281942908784,32519.00290527372
1,154987.375,647.0,239.41729665888533,0.0,1.0,25198.36255645752,129789.01244354248,4.788345933177707,27105.187105270423
2,92740.6875,404.0,155.44905306520295,1.0,2.0,15653.463485717772,77087.22401428223,3.10898106130406,24795.01241540148
3,70828.875,301.0,131.83129163436368,0.0,2.0,11662.605220794678,59166.26977920532,2.636625832687274,22440.14643477209
4,104116.34375,453.0,177.18704388092235,0.0,3.0,17933.47170639038,86182.87204360962,3.543740877618447,24319.744309727404
5,67494.078125,293.0,116.33701787972524,1.0,3.0,11599.353664398192,55894.72446060181,2.3267403575945047,24022.75968530861
6,109317.3984375,458.0,165.15968535101584,0.0,4.0,18321.897384643555,90995.50105285645,3.303193707020317,27547.73383694169
0,196538.53125,786.0,284.97996673829016,1.0,3.0,21017.035652160645,175521.49559783936,5.699599334765804,30795.4095171589
1,190393.84375,790.0,305.7419898405831,0.0,4.0,21570.48463821411,168823.3591117859,6.114839796811662,27608.795115092315
0,196241.53125,875.0,356.23073841368307,0.0,0.0,31321.48790359497,164920.04334640503,7.124614768273662,23147.924303332707
