LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,EXTRACK_P_STUCK,EXTRACK_P_DIFFUSIVE,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Probability stuck,Probability diffusive,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,P stuck,P diffusive,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,,,
ID861261,861261,0,22.180768966674805,12.276000304364546,17.2720578257306,0.0,0.1416507549583912,3,0.75,1,,603.7027027027027,596.0,500.0,817.0,22337.0,69.76303735776834,24931.135135135137,25015.0,22194.0,27667.0,922452.0,1494.3278712474,,,0.03603965412243166,0.6020491827267422,-0.007456778424306481,-0.2506847772085934
ID860972,860972,0,27.07246208190918,12.427336522452064,16.800556544115526,0.0,0.42495226487517357,9,0.75,1,,618.5135135135135,600.0,529.0,847.0,22885.0,73.18645200279049,25150.35135135135,25015.0,21922.0,29247.0,930563.0,1839.217137446984,,,0.0423703278068196,0.687049896623313,-0.0102364437130389,-0.2828516335203884
ID861324,861324,0,40.48236846923828,13.099458802122465,18.135738935327744,0.0,0.6610368564724922,14,0.75,1,,657.8378378378378,649.0,534.0,861.0,24340.0,87.19502837302694,27164.91891891892,27148.0,24565.0,29299.0,1005102.0,1073.93439118811,,,0.0599509418445632,0.8534289431779174,-0.001390808134332922,-0.07045832609840036
ID861417,861417,0,28.024707794189453,14.453950960400167,17.059859069070516,0.0,0.8499045297503471,18,0.75,1,,629.1891891891892,612.0,521.0,797.0,23280.0,77.48255640172532,29606.675675675677,29631.0,27018.0,32620.0,1095447.0,1373.071942237026,,,0.04061328239838939,0.6338493254873103,0.00997964318091375,0.4261168837671413
ID861032,861032,0,22.08197593688965,12.447509516787173,17.135147890949714,0.0,0.23608459159731865,5,0.75,1,,617.6216216216217,606.0,496.0,806.0,22852.0,70.2109327318408,25539.864864864863,25323.0,22642.0,27706.0,944975.0,1464.8555894346368,,,0.035353775177470265,0.6007513685996873,-0.003352254760693357,-0.11728679147445822
ID861291,861291,0,15.89571762084961,11.222321014398501,15.26604075709259,0.0,0.04721691831946373,1,0.75,1,,593.4324324324324,591.0,506.0,719.0,21957.0,52.56400360012995,23454.837837837837,23271.0,21285.0,26770.0,867829.0,1344.0135274102943,,,0.027118566306696044,0.5961547150149178,-0.014128037692827005,-0.5001728565443727
ID861093,861093,0,24.652006149291992,13.00634777066541,16.59933861054087,0.0,0.4721691831946373,10,0.75,1,,600.4594594594595,588.0,494.0,779.0,22217.0,68.41604530558058,26861.91891891892,27146.0,22298.0,30610.0,993891.0,2017.2103864602825,,,0.034710712713558176,0.5888440694933953,0.0022227475294132977,0.059066564870691826
