,index,label,x,y,length,frame,r,score,intensity,background,area,perimeter,diameter(nm),length(um),final_intensity,unit_intensity,cell
28,0,238,457.5689655172414,541.3793103448276,12.27807441562551,2,4.300000000000001,0.6527777777777778,5416.26708984375,2773.7529183191064,58.08804816487529,27.017696820872224,344.00000000000006,1080.7078728348888,2642.5141715246436,97.80678897407711,WAVE2_dPRD/tirf/250319_pMW166_latb_tirf_1-1_SIR.tif
80,0,808,573.0277777777778,596.6111111111111,11.401256617618365,2,4.5,0.6785714285714286,5761.1552734375,2422.2578750771286,63.61725123519331,28.274333882308138,360.0,1130.9733552923256,3338.8973983603714,118.08933898349385,WAVE2_dPRD/tirf/250319_pMW166_latb_tirf_1-1_SIR.tif
83,0,861,589.3541666666666,600.1875,8.75075143956917,2,4.300000000000001,0.703125,4536.9599609375,2364.8408322450514,58.08804816487529,27.017696820872224,344.00000000000006,1080.7078728348888,2172.1191286924486,80.39616193392185,WAVE2_dPRD/tirf/250319_pMW166_latb_tirf_1-1_SIR.tif
84,0,865,593.2121212121212,574.1363636363636,10.743482728612664,2,5.1000000000000005,0.6666666666666666,7658.26171875,2988.7737049387397,81.71282491987054,32.04424506661589,408.00000000000006,1281.7698026646358,4669.48801381126,145.72001943263106,WAVE2_dPRD/tirf/250319_pMW166_latb_tirf_1-1_SIR.tif
45,0,301,482.1142857142857,567.4,8.887658517037362,3,3.2,0.6744186046511628,3134.10400390625,1435.4865984837315,32.169908772759484,20.106192982974676,256.0,804.247719318987,1698.6174054225185,84.48229890466371,WAVE2_dPRD/tirf/250319_pMW166_latb_tirf_1-1_SIR.tif
59,0,471,522.8412698412699,308.46031746031747,10.90589968277574,3,4.5,0.6923076923076923,5498.3173828125,2127.0334887906165,63.61725123519331,28.274333882308138,360.0,1130.9733552923256,3371.2838940218835,119.2347769554836,WAVE2_dPRD/tirf/250319_pMW166_latb_tirf_1-1_SIR.tif
69,0,583,551.2424242424242,397.5151515151515,9.124632921596042,3,3.2,0.6666666666666666,3346.1923828125,1523.8749169884622,32.169908772759484,20.106192982974676,256.0,804.247719318987,1822.3174658240378,90.6346351776849,WAVE2_dPRD/tirf/250319_pMW166_latb_tirf_1-1_SIR.tif
75,0,657,574.4473684210526,595.1447368421053,11.834862704287122,3,5.1000000000000005,0.6836734693877551,7567.7548828125,3076.067196271717,81.71282491987054,32.04424506661589,408.00000000000006,1281.7698026646358,4491.687686540783,140.17143100744417,WAVE2_dPRD/tirf/250319_pMW166_latb_tirf_1-1_SIR.tif
79,0,688,588.0869565217391,598.5434782608696,9.028472198271198,3,3.7,0.75,4165.3857421875,1713.4544462364165,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,2451.9312959510835,105.46945564117078,WAVE2_dPRD/tirf/250319_pMW166_latb_tirf_1-1_SIR.tif
82,0,736,613.2,566.3777777777777,11.01600260547148,3,4.2,0.6721311475409836,4425.833984375,2105.7990714848743,55.41769440932395,26.389378290154262,336.0,1055.5751316061705,2320.0349128901257,87.91548203148531,WAVE2_dPRD/tirf/250319_pMW166_latb_tirf_1-1_SIR.tif
41,0,382,514.1290322580645,596.8064516129032,8.29054789909431,4,3.2,0.6585365853658537,3019.78564453125,1548.300750555396,32.169908772759484,20.106192982974676,256.0,804.247719318987,1471.484893975854,73.1856545504096,WAVE2_dPRD/tirf/250319_pMW166_latb_tirf_1-1_SIR.tif
56,0,593,572.1063829787234,594.4574468085107,14.486404145361783,4,5.1000000000000005,0.7102803738317757,7752.859375,2936.9448206308484,81.71282491987054,32.04424506661589,408.00000000000006,1281.7698026646358,4815.914554369152,150.28953075216722,WAVE2_dPRD/tirf/250319_pMW166_latb_tirf_1-1_SIR.tif
68,0,773,676.1515151515151,600.6969696969697,9.4169036853448,4,2.9000000000000004,0.6571428571428571,2761.31591796875,773.9692758098245,26.420794216690165,18.221237390820804,232.00000000000003,728.8494956328321,1987.3466421589255,109.06760059885276,WAVE2_dPRD/tirf/250319_pMW166_latb_tirf_1-1_SIR.tif
0,0,8,102.52083333333333,462.4375,8.640588254570426,1,3.7,0.7222222222222222,4723.70849609375,954.9017376020552,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,3768.806758491695,162.1146554519179,WAVE2_dPRD/tirf/250319_pMW166_latb_tirf_1-2_SIR.tif
6,0,437,695.2647058823529,638.2058823529412,8.903663955040813,1,3.2,0.6511627906976745,2792.595458984375,1138.8545816494525,32.169908772759484,20.106192982974676,256.0,804.247719318987,1653.7408773349225,82.25032350655646,WAVE2_dPRD/tirf/250319_pMW166_latb_tirf_1-2_SIR.tif
2,0,273,568.5757575757576,453.24242424242425,8.650763154070226,2,3.2,0.6666666666666666,2789.4228515625,1036.3420757607369,32.169908772759484,20.106192982974676,256.0,804.247719318987,1753.0807758017631,87.19108472132042,WAVE2_dPRD/tirf/250319_pMW166_latb_tirf_1-2_SIR.tif
0,0,17,217.64705882352942,996.0882352941177,8.490664517088488,4,3.2,0.6904761904761905,3080.251953125,779.9010250402241,32.169908772759484,20.106192982974676,256.0,804.247719318987,2300.3509280847757,114.41006907835035,WAVE2_dPRD/tirf/250319_pMW166_latb_tirf_1-2_SIR.tif
3,0,43,115.5,227.0,8.00297025833623,0,3.2,0.6511627906976745,2319.050048828125,1004.6874377982317,32.169908772759484,20.106192982974676,256.0,804.247719318987,1314.3626110298933,65.37103330018051,WAVE2_dPRD/tirf/250319_pMW166_latb_tirf_1-3_SIR.tif
0,0,4,69.57894736842105,190.52631578947367,10.307577649495023,1,3.2,0.7045454545454546,3254.03955078125,778.5095663867146,32.169908772759484,20.106192982974676,256.0,804.247719318987,2475.5299843945354,123.12276055893527,WAVE2_dPRD/tirf/250319_pMW166_latb_tirf_1-3_SIR.tif
6,0,84,172.15217391304347,165.91304347826087,10.587775422203377,4,3.7,0.6545454545454545,3135.448974609375,1265.640632346645,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,1869.80834226273,80.42952440691242,WAVE2_dPRD/tirf/250319_pMW166_latb_tirf_1-3_SIR.tif
14,0,164,250.05633802816902,223.53521126760563,11.629299044536095,4,4.5,0.6666666666666666,4620.921875,1492.019080118062,63.61725123519331,28.274333882308138,360.0,1130.9733552923256,3128.902794881938,110.66229916877936,WAVE2_dPRD/tirf/250319_pMW166_latb_tirf_1-3_SIR.tif
10,0,71,211.5625,143.20833333333334,9.271439660862404,0,4.0,0.7636363636363637,3278.484375,1136.25854666516,50.26548245743669,25.132741228718345,320.0,1005.3096491487339,2142.22582833484,85.23645744965496,WAVE2_dPRD/tirf/250319_pMW166_latb_tirf_1-3-2_SIR.tif
14,0,93,232.30769230769232,70.56043956043956,13.214728327055923,0,5.9,0.680672268907563,6870.5634765625,2094.8873958022145,109.3588402714607,37.07079331235956,472.00000000000006,1482.8317324943825,4775.676080760286,128.82583980656423,WAVE2_dPRD/tirf/250319_pMW166_latb_tirf_1-3-2_SIR.tif
25,0,199,364.2906976744186,199.82558139534885,12.654077164951055,0,5.0,0.67,5820.62646484375,1758.0677542877197,78.53981633974483,31.41592653589793,400.0,1256.6370614359173,4062.5587105560303,129.31526007720575,WAVE2_dPRD/tirf/250319_pMW166_latb_tirf_1-3-2_SIR.tif
