,index,label,x,y,length,frame,r,score,intensity,background,area,perimeter,diameter(nm),length(um),final_intensity,unit_intensity,cell
9,0,100,496.3488372093023,503.04651162790697,9.377171093215452,0,4.0,0.6727272727272727,5489.19140625,1758.1726486084424,50.26548245743669,25.132741228718345,320.0,1005.3096491487339,3731.0187576415574,148.45251951180904,WAVE2_WT/tirf/250319_pMW6_latb_tirf_1-1_SIR.tif
10,0,104,497.5,539.90625,7.098851103420551,0,3.2,0.6829268292682927,3205.186279296875,1229.9032202886046,32.169908772759484,20.106192982974676,256.0,804.247719318987,1975.2830590082704,98.24251963963944,WAVE2_WT/tirf/250319_pMW6_latb_tirf_1-1_SIR.tif
15,0,132,522.0625,477.625,8.040096602651005,0,3.0,0.6944444444444444,2965.353515625,1236.3860956523567,28.274333882308138,18.84955592153876,240.0,753.9822368615504,1728.9674199726433,91.72457044449571,WAVE2_WT/tirf/250319_pMW6_latb_tirf_1-1_SIR.tif
16,0,135,523.0930232558139,486.69767441860466,9.079494268887249,0,3.7,0.7254901960784313,4425.43359375,1739.184820580855,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,2686.248773169145,115.54858665524566,WAVE2_WT/tirf/250319_pMW6_latb_tirf_1-1_SIR.tif
18,0,148,535.2272727272727,468.95454545454544,13.194172284089216,0,5.9,0.6694915254237288,11078.37890625,2933.6001034801825,109.3588402714607,37.07079331235956,472.00000000000006,1482.8317324943825,8144.778802769817,219.70878082218738,WAVE2_WT/tirf/250319_pMW6_latb_tirf_1-1_SIR.tif
20,0,155,539.8415841584158,580.4653465346535,12.634463721922941,0,5.4,0.7837837837837838,10330.416015625,2686.6607536816596,91.60884177867838,33.929200658769766,432.00000000000006,1357.1680263507906,7643.755261943341,225.2854506894385,WAVE2_WT/tirf/250319_pMW6_latb_tirf_1-1_SIR.tif
29,0,200,569.1470588235294,468.04411764705884,10.540769188203642,0,4.300000000000001,0.7916666666666666,7146.80224609375,2270.492654156834,58.08804816487529,27.017696820872224,344.00000000000006,1080.7078728348888,4876.309591936916,180.48576176818213,WAVE2_WT/tirf/250319_pMW6_latb_tirf_1-1_SIR.tif
30,0,210,574.5952380952381,493.6309523809524,10.95242254593701,0,5.4,0.7745098039215687,9572.1875,2974.5182716053723,91.60884177867838,33.929200658769766,432.00000000000006,1357.1680263507906,6597.669228394628,194.45401307116592,WAVE2_WT/tirf/250319_pMW6_latb_tirf_1-1_SIR.tif
34,0,227,581.3243243243244,529.4594594594595,8.955845221755425,0,3.2,0.6818181818181818,4220.33984375,1259.591360455556,32.169908772759484,20.106192982974676,256.0,804.247719318987,2960.7484832944438,147.25554886504457,WAVE2_WT/tirf/250319_pMW6_latb_tirf_1-1_SIR.tif
37,0,245,590.7073170731708,422.780487804878,8.929278446779424,0,3.7,0.6538461538461539,4744.11962890625,1790.7529160689562,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,2953.3667128372936,127.03862462462634,WAVE2_WT/tirf/250319_pMW6_latb_tirf_1-1_SIR.tif
41,0,280,611.2666666666667,490.56666666666666,12.194510289930353,0,5.4,0.780952380952381,12059.759765625,3503.459473557342,91.60884177867838,33.929200658769766,432.00000000000006,1357.1680263507906,8556.300292067659,252.18101593725848,WAVE2_WT/tirf/250319_pMW6_latb_tirf_1-1_SIR.tif
44,0,296,618.6964285714286,401.0892857142857,9.28735585517022,0,3.7,0.7413793103448276,4409.1025390625,1404.5297833129764,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,3004.572755749524,129.24124485318234,WAVE2_WT/tirf/250319_pMW6_latb_tirf_1-1_SIR.tif
5,0,75,495.9878048780488,447.0365853658537,11.1562924365963,1,5.1000000000000005,0.71,9463.4345703125,2980.8376835320896,81.71282491987054,32.04424506661589,408.00000000000006,1281.7698026646358,6482.59688678041,202.3014389418106,WAVE2_WT/tirf/250319_pMW6_latb_tirf_1-1_SIR.tif
8,0,91,502.3333333333333,127.56410256410257,8.407585564444629,1,3.7,0.75,4747.0126953125,1219.6516379758714,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,3527.3610573366286,151.72890495810242,WAVE2_WT/tirf/250319_pMW6_latb_tirf_1-1_SIR.tif
9,0,92,503.57142857142856,456.2857142857143,8.886537753622642,1,3.7,0.6785714285714286,4807.57421875,1943.5345241937787,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,2864.0396945562215,123.19623637838507,WAVE2_WT/tirf/250319_pMW6_latb_tirf_1-1_SIR.tif
16,0,127,539.1747572815534,581.2330097087379,14.093626409281649,1,5.9,0.7377049180327869,10614.20703125,2893.720833975077,109.3588402714607,37.07079331235956,472.00000000000006,1482.8317324943825,7720.486197274923,208.2633120964498,WAVE2_WT/tirf/250319_pMW6_latb_tirf_1-1_SIR.tif
17,0,138,543.8809523809524,401.3809523809524,9.438606832117376,1,4.0,0.6545454545454545,4732.7275390625,1989.981463030875,50.26548245743669,25.132741228718345,320.0,1005.3096491487339,2742.7460760316253,109.13039891158314,WAVE2_WT/tirf/250319_pMW6_latb_tirf_1-1_SIR.tif
19,0,143,546.4347826086956,633.0869565217391,10.205043628754245,1,3.7,0.6851851851851852,5088.884765625,1414.291014460288,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,3674.593751164712,158.06209712228485,WAVE2_WT/tirf/250319_pMW6_latb_tirf_1-1_SIR.tif
